Periodo de Cobertura,Total Afiliados,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y mas,Year,Month,Sexo
2007-10-01,228124,46255,56124,52793,32811,4763,1937,4142,5567,6379,5797,4755,3195,1743,977,487,248,90,61,2007,10,M
2007-11-01,239314,48181,59325,55658,34589,4890,1979,4176,5738,6538,5943,4941,3332,1856,1062,581,311,133,81,2007,11,M
2007-12-01,252918,50791,63102,59451,36684,3879,2120,4433,6119,6891,6320,5230,3565,2001,1137,628,343,140,84,2007,12,M
2008-01-01,257925,51163,64515,60949,37556,3883,2114,4449,6234,7046,6445,5307,3640,2072,1192,682,387,173,118,2008,1,M
2008-02-01,266391,53041,66536,62608,38674,3805,2206,4657,6454,7313,6641,5454,3780,2198,1339,836,479,224,146,2008,2,M
2008-03-01,271570,53660,67742,63638,39274,3868,2243,4758,6658,7633,6840,5605,3962,2341,1441,930,549,269,159,2008,3,M
2008-04-01,279983,55204,69426,65289,40112,4214,2651,5180,6990,7897,7044,5784,4099,2470,1514,1006,620,308,175,2008,4,M
2008-05-01,293060,57957,72952,68336,41936,4231,2739,5392,7324,8224,7299,5995,4243,2583,1593,1062,675,333,186,2008,5,M
2008-06-01,304028,59631,75352,70799,43285,4373,2845,5672,7650,8652,7808,6449,4574,2803,1717,1116,737,357,208,2008,6,M
2008-07-01,320500,61099,77414,72721,45186,6251,4618,7048,8768,9461,8402,6889,4894,3059,1927,1253,853,408,249,2008,7,M
2008-08-01,317474,60565,75951,71031,44122,5854,4697,7190,8971,9716,8644,7213,5194,3235,2094,1356,919,445,277,2008,8,M
2008-09-01,320786,60846,76804,71802,44717,5816,4639,7279,8995,9828,8854,7336,5305,3337,2149,1384,950,467,278,2008,9,M
2008-10-01,328026,61345,78464,73376,45940,5957,4837,7498,9248,10105,9170,7533,5542,3500,2262,1467,997,493,292,2008,10,M
2008-11-01,330133,61886,79156,74090,46313,5631,4567,7280,9240,10088,9207,7668,5589,3594,2375,1546,1050,536,317,2008,11,M
2008-12-01,334429,62838,80481,75512,47206,5377,4382,7178,9202,9994,9255,7661,5660,3651,2406,1589,1112,575,350,2008,12,M
2009-01-01,348233,66342,83773,78544,48906,5520,4579,7357,9531,10395,9423,7892,5839,3789,2499,1682,1190,607,365,2009,1,M
2009-02-01,357791,67906,85298,80236,49790,5791,5046,8005,10051,10815,9809,8246,6148,3947,2654,1769,1250,639,391,2009,2,M
2009-03-01,363869,69255,86587,81569,50725,6132,5146,8001,10035,10861,9832,8359,6232,4084,2750,1869,1315,700,417,2009,3,M
2009-04-01,375469,71944,89402,83955,52331,5812,4975,7971,10179,11053,10038,8512,6484,4332,3026,2216,1646,945,648,2009,4,M
2009-05-01,379437,72671,89858,84673,52847,5844,5173,8107,10331,11156,10168,8650,6648,4457,3090,2336,1717,1013,698,2009,5,M
2009-06-01,392879,75001,92114,86977,55168,6668,5365,8485,10769,11667,10515,9062,6968,4708,3285,2476,1824,1088,739,2009,6,M
2009-07-01,405696,77504,94816,89706,57103,6866,5604,8794,11012,12021,10884,9275,7238,4972,3449,2622,1918,1139,773,2009,7,M
2009-08-01,422898,80928,99243,94103,59803,7001,5572,8911,11376,12149,11080,9528,7526,5253,3660,2762,1982,1222,799,2009,8,M
2009-09-01,429951,82037,100597,95694,61196,7053,5584,9043,11454,12320,11279,9797,7693,5477,3718,2850,2053,1265,841,2009,9,M
2009-10-01,440519,83713,102890,98153,62443,7280,5659,9344,11829,12679,11638,10084,8053,5674,3811,2953,2145,1305,866,2009,10,M
2009-11-01,448201,85717,104229,99979,63464,7303,5729,9374,11999,12829,11760,10280,8207,5860,3944,3048,2230,1355,894,2009,11,M
2009-12-01,454226,87100,105769,101818,64536,7141,5517,9344,11884,12789,11847,10333,8253,6023,4025,3157,2299,1464,927,2009,12,M
2010-01-01,464138,89246,107561,103700,65969,7214,5685,9715,12270,13158,12156,10535,8498,6204,4103,3300,2340,1514,970,2010,1,M
2010-02-01,469763,89471,107994,104296,66364,7733,5979,10167,12753,13609,12556,10965,8813,6494,4226,3381,2415,1549,998,2010,2,M
2010-03-01,481150,93452,110578,106763,67962,8017,5978,10111,12657,13638,12635,10995,8860,6619,4372,3475,2449,1590,999,2010,3,M
2010-04-01,490428,95919,112626,108593,69080,8020,6075,10297,12903,13919,12841,11245,9089,6802,4431,3547,2437,1607,997,2010,4,M
2010-05-01,495196,96739,113205,109150,69444,8058,6205,10502,13151,14144,13095,11445,9321,7029,4615,3690,2585,1736,1082,2010,5,M
2010-06-01,499027,97216,113123,109027,69850,8483,6721,10945,13436,14506,13231,11593,9486,7208,4769,3819,2690,1800,1124,2010,6,M
2010-07-01,505771,98100,114005,110326,70540,8592,6866,11176,13715,14785,13635,11928,9742,7534,4945,3979,2802,1917,1184,2010,7,M
2010-08-01,512485,98922,115300,111775,71464,8682,6953,11282,14039,15148,13935,12061,9969,7732,5088,4060,2907,1945,1223,2010,8,M
2010-09-01,522507,99890,116621,113956,72716,9073,7343,11638,14458,15500,14337,12411,10578,8133,5334,4223,2980,2030,1286,2010,9,M
2010-10-01,528599,100407,117181,115126,73398,9233,7405,11844,14907,15996,14794,12821,10717,8242,5590,4386,3106,2111,1335,2010,10,M
2010-11-01,534627,102143,118640,116946,74611,9381,7400,11956,14862,16015,14844,12640,10658,8116,5470,4346,3084,2148,1367,2010,11,M
2010-12-01,540432,102910,119686,118462,75583,9314,7264,12161,15055,16276,15056,12798,10751,8314,5600,4433,3138,2216,1415,2010,12,M
2011-01-01,540529,103061,119334,118871,75740,9218,7150,12099,14923,16208,15092,12765,10795,8304,5595,4487,3205,2236,1446,2011,1,M
2011-02-01,547967,104059,119960,119961,76298,9929,7602,12448,15316,16679,15475,13029,11141,8561,5793,4637,3298,2295,1486,2011,2,M
2011-03-01,554270,105294,120951,121266,77090,10029,7716,12518,15334,16884,15632,13304,11369,8827,5949,4784,3403,2349,1571,2011,3,M
2011-04-01,562452,107628,122134,122937,77657,10165,7760,12819,15594,17054,15848,13524,11635,9040,6150,4935,3515,2447,1610,2011,4,M
2011-05-01,561125,107109,120814,121779,76994,10356,8052,12945,15838,17316,16068,13711,11798,9263,6313,5035,3606,2467,1661,2011,5,M
2011-06-01,568593,109063,122348,123884,77946,10354,8122,13050,15875,17302,16115,13832,11885,9369,6445,5134,3664,2512,1693,2011,6,M
2011-07-01,576475,110083,123371,125472,79139,10786,8306,13335,16210,17606,16378,14085,12125,9526,6650,5315,3765,2589,1734,2011,7,M
2011-08-01,583223,110760,124145,126728,80527,11035,8532,13682,16352,17766,16652,14315,12417,9746,6873,5398,3886,2635,1774,2011,8,M
2011-09-01,585111,111353,124472,126974,80848,10866,8165,13479,16426,17749,16761,14482,12850,9890,6995,5458,3917,2636,1790,2011,9,M
2011-10-01,583831,110534,123308,125990,80442,11647,8781,13819,16705,17862,16953,14405,12543,9819,7013,5491,3988,2694,1837,2011,10,M
2011-11-01,585815,111325,123638,126556,80660,11404,8565,13755,16621,17798,17048,14437,12619,10010,7120,5581,4066,2759,1853,2011,11,M
2011-12-01,585025,111275,123547,126705,80324,11281,8477,13543,16695,17759,16901,14433,12568,10047,7186,5539,4127,2757,1861,2011,12,M
2012-01-01,586906,111086,123348,126908,80458,11317,8485,13702,16790,17998,17217,14577,12791,10230,7319,5642,4243,2857,1938,2012,1,M
2012-02-01,593589,112213,124001,127934,80949,11698,8726,14030,17160,18382,17592,14915,13149,10459,7501,5747,4299,2865,1969,2012,2,M
2012-03-01,602314,114792,125451,129897,81854,11930,8942,14183,17205,18432,17800,15085,13154,10596,7730,5864,4426,2951,2022,2012,3,M
2012-04-01,605495,115919,125781,130637,81999,11928,8990,14126,17249,18495,17954,15174,13219,10761,7803,5903,4520,2979,2058,2012,4,M
2012-05-01,610530,116611,126450,131718,82623,12051,8931,14316,17458,18737,18176,15360,13449,10951,7947,5992,4592,3063,2105,2012,5,M
2012-06-01,616949,118339,127170,133064,82785,12230,9248,14533,17628,19035,18451,15603,13589,11137,8107,6134,4649,3104,2143,2012,6,M
2012-07-01,591401,114095,122831,129004,81072,10313,7217,12627,16144,17785,17513,15008,13259,10833,7878,6065,4589,3074,2094,2012,7,M
2012-08-01,623985,118992,126791,133794,84860,12770,9727,14907,17962,19417,18790,15943,13971,11387,8268,6349,4742,3169,2146,2012,8,M
2012-09-01,632120,120175,127713,135325,85956,13164,9963,15224,18314,19801,19128,16340,14237,11613,8390,6543,4851,3188,2195,2012,9,M
2012-10-01,631650,119422,127451,135383,85861,12881,9952,15415,18433,19961,19447,16360,14273,11658,8316,6604,4830,3196,2207,2012,10,M
2012-11-01,633935,119873,127893,136177,85927,12746,9849,15427,18478,20054,19478,16407,14285,11750,8523,6703,4923,3218,2224,2012,11,M
2012-12-01,637299,120819,128431,136776,86139,12870,9941,15542,18774,20220,19599,16383,14308,11775,8515,6775,5009,3219,2204,2012,12,M
2013-01-01,636602,121032,128336,137438,86108,12447,9657,15257,18538,19969,19467,16343,14282,11809,8574,6798,5030,3260,2257,2013,1,M
2013-02-01,642443,122403,128946,138265,85784,12689,9837,15707,18819,20341,19872,16678,14564,12037,8772,6957,5141,3318,2313,2013,2,M
2013-03-01,648491,123797,129607,139307,86462,13101,10063,15791,18857,20414,20031,16891,14837,12208,8914,7112,5252,3431,2416,2013,3,M
2013-04-01,651401,123760,130211,140269,86991,12896,10069,15813,18963,20485,20150,17015,14969,12306,9026,7205,5343,3469,2461,2013,4,M
2013-05-01,659382,125151,131545,141802,87803,13118,10353,16011,19186,20783,20480,17290,15230,12536,9292,7290,5468,3513,2531,2013,5,M
2013-06-01,668335,126408,133057,143489,88461,13582,10809,16348,19715,21188,20722,17621,15585,12748,9456,7423,5552,3583,2588,2013,6,M
2013-07-01,668369,125944,132496,143317,88188,13722,10838,16558,19753,21316,20744,17847,15748,12887,9631,7523,5600,3634,2623,2013,7,M
2013-08-01,676661,127499,134212,144623,90291,13739,10949,16667,19902,21589,20982,18095,15844,13077,9786,7573,5632,3602,2599,2013,8,M
2013-09-01,679506,128070,134633,144786,90473,13953,10901,16679,20095,21703,21022,18225,16172,13214,9938,7669,5705,3630,2638,2013,9,M
2013-10-01,680689,126572,134819,145351,91085,14044,10948,16783,20217,21937,21210,18350,16161,13379,10019,7754,5741,3654,2665,2013,10,M
2013-11-01,689076,129795,136384,147008,92415,13784,10896,16678,20226,21965,21271,18566,16295,13502,10203,7829,5838,3682,2739,2013,11,M
2013-12-01,692261,130479,137039,147207,93072,13795,10932,16686,20355,22064,21391,18688,16372,13617,10310,7876,5897,3716,2765,2013,12,M
2014-01-01,691961,130806,137146,147178,92830,13571,10843,16703,20478,22130,21298,18663,16317,13651,10279,7841,5805,3673,2749,2014,1,M
2014-02-01,695147,131927,137700,147151,92604,13809,11195,16933,20590,22268,21476,18869,16378,13789,10365,7889,5826,3648,2730,2014,2,M
2014-03-01,703286,132988,138633,148154,93509,14551,11653,17271,20864,22548,21750,19108,16711,14030,10664,8114,6066,3772,2900,2014,3,M
2014-04-01,708117,134268,139953,149892,94782,13856,11177,16858,20805,22555,21794,19228,16843,14195,10791,8201,6132,3855,2932,2014,4,M
2014-05-01,718777,136804,141450,151271,95876,14515,11674,17382,21162,22904,22160,19609,17097,14452,10996,8315,6190,3913,3007,2014,5,M
2014-06-01,725165,138120,142441,152058,96791,14802,11847,17570,21454,23124,22327,19821,17277,14610,11201,8425,6276,3957,3064,2014,6,M
2014-07-01,727815,138435,143127,152179,96914,14799,12126,17750,21553,23160,22540,19996,17437,14705,11408,8447,6282,3945,3012,2014,7,M
2014-08-01,736353,138590,144918,153675,98319,15054,12469,18182,22046,23544,22954,20258,17661,14956,11670,8583,6373,4039,3062,2014,8,M
2014-09-01,739630,138691,145679,153888,99503,15482,12549,17996,22045,23573,22974,20331,17776,14996,11788,8688,6457,4078,3136,2014,9,M
2014-10-01,745605,138702,147012,154835,100669,15889,12696,18145,22294,23855,23238,20530,18000,15142,11973,8764,6550,4125,3186,2014,10,M
2014-11-01,748685,138030,148038,155511,101184,15772,12779,18330,22358,23975,23349,20647,18252,15407,12186,8841,6636,4161,3229,2014,11,M
2014-12-01,751808,140463,148799,155157,101579,15635,12679,18198,22378,23922,23320,20670,18256,15459,12303,8850,6714,4176,3250,2014,12,M
2015-01-01,755578,140165,149234,154921,101132,16556,13666,18321,22395,23924,23416,20738,18342,15657,12732,9182,7173,4508,3516,2015,1,M
2015-02-01,759087,140288,149408,154779,101084,16951,14269,18631,22558,24146,23650,20873,18543,15944,12930,9388,7317,4689,3639,2015,2,M
2015-03-01,771326,143213,151356,156642,103419,17435,14633,18851,22925,24267,23938,21100,18716,16193,13186,9524,7425,4742,3761,2015,3,M
2015-04-01,777028,145147,152326,157692,104353,17066,14438,18761,22915,24431,24173,21321,18835,16362,13441,9589,7528,4794,3856,2015,4,M
2015-05-01,785027,146374,153347,158401,105397,17754,15091,19161,23276,24795,24576,21555,19068,16645,13641,9585,7564,4830,3967,2015,5,M
2015-06-01,787651,146751,153662,158640,105975,17767,15188,19253,23428,24825,24757,21751,19143,16756,13717,9612,7589,4848,3989,2015,6,M
2015-07-01,787892,145586,153609,158440,106134,17920,15307,19339,23602,24989,24802,21950,19244,16874,13896,9655,7621,4896,4028,2015,7,M
2015-08-01,793281,148168,153997,158453,106699,17919,15567,19549,23702,25090,24995,22254,19503,16963,14089,9749,7635,4872,4077,2015,8,M
2015-09-01,794916,147799,153763,157805,108466,18379,15807,19803,23850,25105,24911,22270,19436,17025,14053,9781,7678,4870,4115,2015,9,M
2015-10-01,801182,148107,155182,158856,110137,18608,15811,19707,23987,25342,25036,22422,19625,17353,14270,9909,7736,4911,4183,2015,10,M
2015-11-01,803454,149106,156129,159114,110289,18235,15702,19728,23980,25191,25100,22592,19601,17418,14395,9958,7730,4965,4221,2015,11,M
2015-12-01,797783,145428,155244,157945,110132,18233,15766,19652,23942,25287,25095,22667,19575,17397,14412,10036,7736,4974,4262,2015,12,M
2016-01-01,805534,149282,157049,158835,111080,18048,15819,19575,23874,25172,25177,22785,19586,17585,14436,10091,7807,5020,4313,2016,1,M
2016-02-01,813083,151148,157950,158935,111365,18641,16364,20122,24434,25592,25739,23083,19808,17887,14597,10237,7814,5043,4324,2016,2,M
2016-03-01,825251,154854,161746,162044,113974,18799,16241,19826,24014,25154,25476,23075,19867,17912,14672,10309,7858,5074,4356,2016,3,M
2016-04-01,829784,155477,162339,161854,114788,19107,16558,20179,24288,25430,25680,23251,20008,18179,14816,10405,7911,5126,4388,2016,4,M
2016-05-01,836672,158692,164315,163037,116099,18764,16229,19881,24159,25361,25639,23254,20090,18194,14887,10506,7975,5146,4444,2016,5,M
2016-06-01,838362,157512,165010,162991,115604,19154,16628,20096,24397,25559,25789,23428,20300,18379,15072,10678,8057,5219,4489,2016,6,M
2016-07-01,849661,161618,167178,164249,116312,19233,16856,20358,24593,25842,26051,23779,20630,18694,15270,10907,8204,5302,4585,2016,7,M
2016-08-01,851353,159237,167703,163905,117992,19540,17138,20765,24886,25973,26122,23966,20709,18860,15318,11054,8208,5393,4584,2016,8,M
2016-09-01,860460,160882,170186,165172,119593,19859,17215,20649,24984,26251,26437,24218,20976,19135,15429,11255,8197,5430,4592,2016,9,M
2016-10-01,863660,160709,170717,165416,119937,20126,17481,20902,25202,26387,26599,24463,21146,19303,15584,11409,8182,5510,4587,2016,10,M
2016-11-01,860812,160373,170405,164547,119623,19997,17289,20525,24957,26221,26266,24484,21057,19396,15907,11515,8201,5492,4557,2016,11,M
2016-12-01,863026,161134,171692,165183,120138,19664,17127,20403,25007,26287,26233,24448,21044,19209,15767,11496,8192,5473,4529,2016,12,M
2017-01-01,860320,159974,171851,165265,119708,19588,17025,20220,24789,26028,26083,24381,20978,19082,15664,11464,8134,5506,4580,2017,1,M
2017-02-01,873615,162718,174230,166882,120855,20011,17740,20749,25226,26720,26945,25277,21288,19261,15815,11594,8160,5560,4584,2017,2,M
2017-03-01,879425,164078,175936,168027,121853,20382,18009,20926,25356,26464,26463,25028,21383,19340,15978,11778,8211,5611,4602,2017,3,M
2017-04-01,886725,166680,178698,169863,123637,20139,17723,20561,24872,26022,26165,24916,21285,19471,16040,11929,8311,5710,4703,2017,4,M
2017-05-01,897731,168781,180933,171699,125520,20280,17956,20858,25113,26214,26433,25200,21533,19625,16302,12149,8418,5888,4829,2017,5,M
2017-06-01,904500,170403,183018,173286,126842,20324,17828,20903,25147,26138,26537,25298,21587,19759,16267,12056,8445,5845,4817,2017,6,M
2017-07-01,914416,172246,185184,174326,128346,20918,18184,21449,25508,26457,26716,25610,21759,19917,16448,12123,8510,5874,4841,2017,7,M
2017-08-01,917839,172014,185616,173877,129100,20579,18337,21559,25894,26897,27148,26005,22392,20267,16696,12143,8623,5855,4837,2017,8,M
2017-09-01,920033,172098,186905,173700,129723,20912,18667,21506,26464,26709,27070,25896,22061,20066,16628,12140,8708,5895,4885,2017,9,M
2017-10-01,919058,171736,187049,173646,130473,20804,18301,21320,25727,26485,26959,25828,21976,20092,16700,12175,8863,5986,4938,2017,10,M
2017-11-01,925968,173294,188465,174197,130989,20626,18387,21402,26041,26641,27251,26213,22467,20545,17042,12400,9004,6036,4968,2017,11,M
2017-12-01,931497,174656,190114,174969,131583,20704,18544,21588,26236,26770,27400,26325,22416,20398,17042,12484,9152,6095,5021,2017,12,M
2018-01-01,933240,174885,190900,175502,132380,20522,18283,21467,26040,26827,27349,26315,22438,20410,17003,12534,9168,6138,5079,2018,1,M
2018-02-01,938523,176627,191904,175627,132575,20796,18712,21741,26187,27093,27390,26462,22662,20554,17159,12645,9216,6098,5075,2018,2,M
2018-03-01,929777,174934,192064,175461,133412,18905,16791,20261,25130,26342,26758,26257,22601,20479,17128,12680,9279,6143,5152,2018,3,M
2018-04-01,956118,180309,195277,177812,136275,21203,19082,22043,26486,27426,27724,26903,23126,21049,17536,12950,9416,6248,5253,2018,4,M
2018-05-01,959629,180961,196040,177980,137188,21061,19150,22018,26522,27402,27787,27195,23388,21266,17595,13080,9417,6335,5244,2018,5,M
2018-06-01,968746,183459,197454,179315,138115,21493,19648,22379,26905,27726,28027,27183,23509,21465,17717,13249,9468,6347,5287,2018,6,M
2018-07-01,976001,184367,198827,179938,139268,21761,20116,22795,27167,27877,28431,27359,23842,21579,17911,13464,9576,6391,5332,2018,7,M
2018-08-01,961549,183099,197900,179717,138581,19231,17500,21000,25668,26817,27680,26859,23510,21413,17818,13488,9520,6400,5348,2018,8,M
2018-09-01,983893,184782,200009,181596,140091,21930,20328,22977,28066,28159,28674,27596,24153,21999,18172,13773,9671,6468,5449,2018,9,M
