Periodo de Cobertura,Total Afiliados,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y mas,Year,Month,Sexo
2013-06-01,803891,120717,127325,138954,92799,40424,37309,37609,33115,31345,29846,26510,23742,19659,14829,11825,8789,5418,3676,2013,6,F
2013-07-01,804868,120309,126984,138866,92407,40595,37571,37736,33313,31563,29995,26766,23895,19861,14971,11948,8898,5459,3731,2013,7,F
2013-08-01,816352,122213,128424,140052,95339,41274,38194,38156,33605,32099,30335,27024,24145,20106,15170,12028,8938,5479,3771,2013,8,F
2013-09-01,819934,122582,128928,140275,95534,41312,38123,38265,33812,32185,30433,27411,24582,20509,15445,12138,9034,5520,3846,2013,9,F
2013-10-01,820974,121425,129055,140695,95981,41651,38336,38302,33859,32326,30597,27498,24440,20510,15528,12203,9090,5591,3887,2013,10,F
2013-11-01,830976,124318,130576,142029,97558,41962,38587,38400,34164,32550,30815,27778,24634,20704,15750,12374,9149,5670,3958,2013,11,F
2013-12-01,834221,124753,131225,142315,98222,42041,38710,38375,34288,32543,30839,28015,24759,20817,15857,12470,9235,5741,4016,2013,12,F
2014-01-01,832468,125166,131374,142206,97926,41614,38508,38184,34302,32382,30657,27850,24478,20709,15832,12345,9237,5708,3990,2014,1,F
2014-02-01,836902,126103,131892,142261,97571,42129,38948,38697,34729,32755,31119,28203,24719,20948,15863,12314,9116,5611,3924,2014,2,F
2014-03-01,843624,126942,132587,143292,98539,42996,39655,38888,34643,32646,30966,28343,24859,21247,16129,12576,9402,5804,4110,2014,3,F
2014-04-01,851844,128329,133782,144784,100120,43083,39543,38788,34713,32865,31208,28755,25170,21676,16475,12758,9617,5949,4229,2014,4,F
2014-05-01,863175,130943,135188,146154,101434,43922,40383,39150,35182,33272,31508,29075,25327,21913,16776,12817,9751,6048,4332,2014,5,F
2014-06-01,870886,132260,136137,146994,102480,44303,40809,39389,35482,33504,31692,29416,25652,22199,17135,12963,9866,6167,4438,2014,6,F
2014-07-01,873748,132509,136796,147222,102407,44703,40942,39624,35830,33529,32003,29500,25866,22395,17260,12925,9769,6107,4361,2014,7,F
2014-08-01,883972,132589,138442,148518,104151,45289,41796,40380,36534,33976,32437,29826,26209,22626,17518,13059,9963,6182,4477,2014,8,F
2014-09-01,887465,132718,139140,148756,105030,45736,41786,40174,36539,33983,32606,29909,26478,22775,17699,13197,10087,6315,4537,2014,9,F
2014-10-01,893857,132749,140483,149646,106413,46259,42268,40307,36645,34168,32700,29961,26715,23042,17962,13322,10188,6401,4628,2014,10,F
2014-11-01,897947,132107,141483,150165,107162,46255,42461,40414,36684,34222,32958,30224,27185,23426,18279,13448,10317,6505,4652,2014,11,F
2014-12-01,899513,134526,142030,150005,107229,46010,42251,39923,36578,33919,32909,30129,27171,23451,18240,13474,10420,6559,4689,2014,12,F
2015-01-01,904189,134239,142329,149583,106416,47122,43259,39981,36622,33823,32867,30206,27481,23906,19084,14109,11146,6959,5057,2015,1,F
2015-02-01,909401,134393,142512,149407,106544,47444,44050,40195,37018,34047,33131,30558,27783,24335,19663,14394,11517,7203,5207,2015,2,F
2015-03-01,922579,137148,144506,151159,109447,48221,44747,40460,37127,34051,33293,30714,27947,24648,20042,14596,11757,7356,5360,2015,3,F
2015-04-01,930200,139163,145446,151908,110891,48690,44821,40701,37158,34126,33579,30865,28140,24819,20369,14732,11884,7438,5470,2015,4,F
2015-05-01,938126,140015,146624,152892,111858,49400,45303,41218,37421,34378,33925,31223,28357,25073,20605,14764,11970,7514,5586,2015,5,F
2015-06-01,941419,140335,147080,153203,112443,49514,45762,41221,37634,34382,34021,31381,28453,25209,20741,14841,12008,7570,5621,2015,6,F
2015-07-01,941858,139117,147152,152718,112557,49533,46044,41507,37818,34523,34151,31570,28559,25350,20948,14911,12051,7640,5709,2015,7,F
2015-08-01,948017,141386,147644,152783,113367,49741,46604,41820,38220,34788,34350,31708,28640,25411,21082,15001,12081,7587,5804,2015,8,F
2015-09-01,948859,141148,147645,151984,114693,49758,46626,41916,38154,34801,34223,31868,28650,25562,21127,15112,12105,7603,5884,2015,9,F
2015-10-01,955843,141168,149181,152955,116364,50274,46606,41913,38347,34933,34392,32190,28927,25917,21406,15303,12248,7732,5987,2015,10,F
2015-11-01,957153,142116,149823,153304,116409,50098,46643,41592,38227,34874,34250,32154,28871,26026,21392,15332,12253,7768,6021,2015,11,F
2015-12-01,951569,138682,149152,152034,116300,49993,46759,41427,38095,34723,34309,32266,28777,26015,21510,15330,12267,7837,6093,2015,12,F
2016-01-01,958897,142433,150755,152877,117086,49847,46724,41241,38137,34663,34296,32293,28799,26178,21642,15508,12352,7927,6139,2016,1,F
2016-02-01,966962,144419,151491,153220,117331,50441,47383,41751,38732,35224,34942,32809,29138,26459,21691,15615,12277,7914,6125,2016,2,F
2016-03-01,982139,147911,155475,156241,120007,51129,47774,41840,38627,35015,35039,32767,29251,26706,21802,15844,12454,8029,6228,2016,3,F
2016-04-01,986854,148580,156292,156277,121035,51564,48170,42033,38756,35213,35054,32975,29377,26772,21909,15978,12506,8080,6283,2016,4,F
2016-05-01,996493,151785,158180,157434,122579,51623,48305,42061,38948,35422,35226,33086,29549,26957,22077,16115,12563,8197,6386,2016,5,F
2016-06-01,996694,150532,158614,157359,121924,51892,48786,42439,39139,35465,35231,33079,29664,26982,22097,16225,12545,8273,6448,2016,6,F
2016-07-01,1009912,154552,160811,158747,122343,52149,49312,42921,39470,35850,35738,33663,30160,27503,22345,16679,12718,8424,6527,2016,7,F
2016-08-01,1013004,152308,161103,158218,125039,52986,49935,43508,39956,36046,35730,33664,30124,27544,22261,16849,12705,8467,6561,2016,8,F
2016-09-01,1022039,154050,163408,159527,126765,53146,50062,43535,39891,36161,35927,33945,30403,27800,22448,17091,12741,8570,6569,2016,9,F
2016-10-01,1024661,153740,164005,159729,126750,53464,50181,43782,40221,36265,36094,34155,30583,27876,22532,17244,12764,8651,6625,2016,10,F
2016-11-01,1021671,153119,163570,158957,126133,53172,49990,43485,39756,35940,35796,34207,30807,28179,23141,17404,12822,8675,6518,2016,11,F
2016-12-01,1024164,153839,164572,159856,126558,52896,49900,43397,39784,36038,35711,34402,30702,28030,23036,17450,12807,8706,6480,2016,12,F
2017-01-01,1021660,153155,164776,159617,126045,52719,49673,43200,39783,35894,35692,34364,30546,27785,22815,17485,12819,8722,6570,2017,1,F
2017-02-01,1034339,155853,166942,161087,127205,53234,50668,43670,40294,36423,36213,35065,30856,27991,22980,17609,12834,8763,6652,2017,2,F
2017-03-01,1041258,157049,168616,161968,128540,53703,51171,43915,40419,36324,35793,35147,31060,28316,23238,17774,12868,8705,6652,2017,3,F
2017-04-01,1053427,159722,171059,164132,130574,53933,51482,44011,40374,36408,36134,35428,31299,28445,23458,18074,13133,8927,6834,2017,4,F
2017-05-01,1066860,161716,173107,166031,132586,54616,51996,44561,40804,36845,36578,35882,31750,28752,23843,18419,13319,9098,6957,2017,5,F
2017-06-01,1075849,163277,175131,167290,134208,55065,52397,45070,41105,37064,36927,36077,31850,28851,23743,18397,13306,9092,6999,2017,6,F
2017-07-01,1087201,165190,177183,167973,136175,55599,53228,45771,41686,37362,37310,36624,32012,29099,23907,18430,13426,9162,7064,2017,7,F
2017-08-01,1095410,165016,177681,167415,136950,55774,53822,46729,42970,38300,38301,37641,32806,29765,24347,18291,13484,9076,7042,2017,8,F
2017-09-01,1094116,164946,178887,167500,137775,56047,54089,46411,42522,37692,37728,36825,32085,29274,24197,18192,13699,9156,7091,2017,9,F
2017-10-01,1095589,164499,179214,167350,138435,56043,54051,46336,42407,37809,37784,36999,32049,29472,24437,18306,13936,9271,7191,2017,10,F
2017-11-01,1102943,165983,180413,167869,139012,56081,54135,46225,42358,37805,37938,37551,33104,30215,24987,18538,14176,9339,7214,2017,11,F
2017-12-01,1107403,166963,182137,168667,139391,56076,54225,46328,42637,37955,38063,37508,32760,30023,24959,18650,14323,9436,7302,2017,12,F
2018-01-01,1109908,167001,183138,169052,140065,56017,54130,46177,42554,37953,38237,37459,32911,30110,25055,18686,14391,9543,7429,2018,1,F
2018-02-01,1115780,168739,183898,169112,140395,56315,54734,46492,42871,38291,38399,37699,33164,30330,25145,18784,14443,9558,7411,2018,2,F
2018-03-01,1110933,167174,184238,168806,141213,55125,53689,45804,42085,37677,38003,37491,33206,30410,25228,19035,14549,9673,7527,2018,3,F
2018-04-01,1136554,172574,187548,171079,144495,57411,55849,47166,43115,38421,38769,38281,33872,30825,25585,19337,14732,9852,7643,2018,4,F
2018-05-01,1140216,173172,187899,171516,145486,57650,55877,47151,43226,38472,38897,38304,33993,31019,25802,19427,14750,9872,7703,2018,5,F
2018-06-01,1150963,175591,189479,172738,147097,58107,56764,47737,43556,38644,39248,38467,34361,31091,25949,19588,14824,9944,7778,2018,6,F
2018-07-01,1158338,176589,190438,173610,148103,58662,57255,48171,43805,38820,39531,38648,34712,31254,26191,19699,14947,10032,7871,2018,7,F
2018-08-01,1148676,175249,189808,173070,147559,57054,55466,47136,42788,38217,39206,38400,34628,31136,26217,19755,14930,10121,7936,2018,8,F
2018-09-01,1166396,176813,191692,174925,149037,59131,57653,48619,44163,39134,39826,38922,35193,31443,26554,19971,15075,10195,8050,2018,9,F
2018-10-01,1171694,176721,193406,176476,150561,59222,57725,48505,44098,39176,39824,38935,35259,31569,26685,20080,15122,10276,8054,2018,10,F
2018-11-01,1181895,178369,195507,178387,151298,59368,58148,48891,44302,39549,40128,39262,35700,31816,26961,20354,15316,10330,8209,2018,11,F
2018-12-01,1184037,178663,196155,179107,151167,59261,58093,48931,44242,39555,40094,39218,35917,32000,27100,20467,15374,10427,8266,2018,12,F
2019-01-01,1184501,178053,196678,179164,150856,59338,58110,48825,44284,39517,40110,39366,36012,32029,27268,20623,15412,10478,8378,2019,1,F
2019-02-01,1190383,179185,197533,179876,150916,59576,58602,49368,44498,39804,40293,39653,36300,32195,27498,20730,15455,10504,8397,2019,2,F
2019-03-01,1198298,179911,199180,180785,151968,60673,59040,49904,44780,39925,40401,39776,36397,32366,27733,20899,15495,10592,8473,2019,3,F
2019-04-01,1202493,180998,200024,180973,152895,60539,59295,49942,44642,39962,40532,39836,36571,32521,27804,21085,15567,10730,8577,2019,4,F
2019-05-01,1198187,178317,199596,180381,152988,60098,58984,49808,44345,39929,40480,39788,36694,32532,27916,21337,15507,10791,8696,2019,5,F
2019-06-01,1202359,179710,200366,180831,151633,60407,59149,50297,44602,40253,40637,39997,37037,32867,28058,21469,15471,10863,8712,2019,6,F
2019-07-01,1206766,181083,200993,181712,151929,60595,59609,50599,44716,40436,40503,40028,36794,32874,28080,21633,15500,10858,8824,2019,7,F
2019-08-01,1212463,181816,201380,182548,152776,60692,59888,51190,45017,40735,40864,40597,36925,32910,28117,21648,15511,10911,8938,2019,8,F
2019-09-01,1216275,182267,202294,183778,153145,60887,59977,51225,45077,40964,40697,40219,36971,33186,28177,21791,15623,10987,9010,2019,9,F
2019-10-01,1217392,181238,202574,184501,152560,60990,60129,51557,44949,41133,40734,40326,36962,33415,28435,22020,15700,11071,9098,2019,10,F
2019-11-01,1219171,182672,203182,185521,152349,60846,59508,51182,44626,41007,40588,40479,36925,33594,28541,22199,15675,11105,9172,2019,11,F
2019-12-01,1212665,179727,199772,182995,149633,61319,60161,51850,45133,41488,40844,40784,37130,33929,29043,22593,15838,11217,9209,2019,12,F
2020-01-01,1211101,180470,201170,185023,150199,60439,59011,50999,44271,40898,40394,40383,36901,33679,28710,22475,15525,11274,9280,2020,1,F
2020-02-01,1213498,181525,201223,185660,149642,60782,59050,51208,44160,40859,40313,40495,37131,33821,28885,22671,15461,11316,9296,2020,2,F
2020-03-01,1220312,183097,202024,186664,150403,61469,59708,51852,44441,40988,40365,40617,37214,33704,28891,22804,15433,11304,9334,2020,3,F
2020-04-01,1142228,169004,189364,175347,142554,59326,56180,48664,41276,38025,37130,37512,34552,31266,26826,21293,14418,10634,8857,2020,4,F
2020-05-01,1352813,167596,190818,176881,149417,92011,96248,81433,68416,59949,53587,49469,42045,35788,29981,23137,15392,11205,9440,2020,5,F
2020-06-01,1404318,170583,195520,181071,154308,96399,100632,85439,71133,62426,56216,52282,44779,38273,32038,24734,16355,11927,10203,2020,6,F
2020-07-01,1323664,171654,197138,182606,154786,81680,82437,71138,59901,53607,49425,47805,42005,36577,31058,24226,15935,11610,10076,2020,7,F
2020-08-01,1278422,169165,194951,180726,154617,75997,74215,64949,54825,49622,46173,45608,40398,35536,30458,23917,15760,11526,9979,2020,8,F
2020-09-01,1281775,168182,194885,180364,156027,76980,74488,65344,55047,49892,46322,45589,40582,35579,30773,24129,15937,11591,10064,2020,9,F
2020-10-01,1278361,169264,196034,182169,158650,75208,71255,63321,53588,48799,46000,45429,40908,35653,30885,24007,15877,11423,9891,2020,10,F
2020-11-01,1254331,167328,193442,179891,157665,73597,68799,61479,51885,47492,44534,43914,39519,34498,30163,23583,15586,11217,9739,2020,11,F
2020-12-01,1271099,170060,197138,183261,161137,74324,68635,61629,51954,47754,44726,44139,40125,34773,30519,23876,15753,11387,9909,2020,12,F
2021-01-01,1228521,165571,192343,179075,157274,69575,63914,58336,50030,46483,43951,43488,38920,33089,28983,22527,14941,10757,9264,2021,1,F
2021-02-01,1130687,161593,186271,172783,135494,56745,56905,51644,43454,39727,37530,38082,35260,31124,27862,21950,14651,10533,9079,2021,2,F
2021-03-01,1148402,165666,189932,176364,133071,56770,58073,53003,44442,40491,38205,39091,35928,31718,28412,22276,15002,10675,9283,2021,3,F
2021-04-01,1152427,166341,190450,176585,132439,56639,58481,53463,44712,40708,38600,39322,36218,31922,28676,22520,15265,10754,9332,2021,4,F
2021-05-01,1168098,168742,193404,179562,136575,57905,58656,53704,44804,41045,38834,39565,36325,32281,28711,22504,15333,10822,9326,2021,5,F
2021-06-01,1156854,168958,193365,180021,134181,55165,56557,52371,43621,40177,38144,39294,36094,32216,28728,22507,15446,10763,9246,2021,6,F
2021-07-01,1177785,171249,195766,182969,136262,56543,58179,53902,44978,41266,39108,40222,36898,32779,29183,22612,15790,10745,9334,2021,7,F
2021-08-01,1192826,172202,197518,185363,137731,57209,58998,54991,45576,42034,39816,40826,37567,33390,30059,22972,16245,10892,9437,2021,8,F
2021-09-01,1242215,170965,197705,187025,138470,62650,66200,62052,51788,47500,44250,44816,40576,35256,31219,23835,16897,11249,9762,2021,9,F
2021-10-01,1199643,174199,198073,187722,138444,56176,58265,54792,45499,42116,39942,41200,38197,33905,30366,23319,16639,11090,9699,2021,10,F
2021-11-01,1208897,175831,199582,189855,139404,55742,58350,55044,45698,42426,40355,41591,38891,34225,30600,23586,16802,11134,9781,2021,11,F
2021-12-01,1205598,175308,198855,189705,138625,54878,57820,54795,45487,42256,40412,41529,39186,34434,30697,23775,16912,11088,9836,2021,12,F
2022-01-01,1209544,176518,200393,191850,139107,54364,56950,54318,45141,42240,40474,41669,39429,34542,30629,23883,16998,11108,9931,2022,1,F
2022-02-01,1207023,176683,199206,191547,138052,53995,56868,54302,45103,42187,40472,41647,39599,34796,30684,23915,17056,11003,9908,2022,2,F
2022-03-01,1227881,180591,202940,195564,140831,54650,57218,55154,45489,42540,40872,42258,40241,35343,31177,24307,17399,11205,10102,2022,3,F
2022-04-01,1226944,179689,203210,196051,139906,54130,56898,55093,45506,42619,40840,42454,40607,35517,31319,24406,17402,11159,10138,2022,4,F
2022-05-01,1233083,182294,204532,197110,140623,54010,56882,55564,45749,42693,40822,42288,40407,35551,31207,24526,17490,11174,10161,2022,5,F
2022-06-01,1242051,183465,206432,198946,141362,53906,56758,55970,46096,42904,41200,42653,40798,35928,31649,24720,17699,11272,10293,2022,6,F
2022-07-01,1243733,184260,207456,200215,141504,54144,56042,55287,45636,42708,41133,42564,40904,35940,31725,24825,17672,11357,10361,2022,7,F
2022-08-01,1255044,185089,209291,202407,142637,54645,56485,56185,46183,43296,41459,42961,41450,36263,32038,25146,17630,11520,10359,2022,8,F
2022-09-01,1255102,184812,209566,203491,142151,54390,56106,55940,46076,43183,41426,43156,41520,36330,31967,25278,17515,11715,10480,2022,9,F
2022-10-01,1260419,184481,210510,204715,142341,54518,55757,56014,46080,43407,41828,43538,42487,37209,32493,25431,17500,11762,10348,2022,10,F
2022-11-01,1259753,184522,211453,205445,142080,54109,55424,55846,46023,43238,41665,43420,42045,36634,32398,25622,17606,11849,10374,2022,11,F
2022-12-01,1257159,184160,211522,206185,141658,53643,54585,55373,45727,43236,41478,43403,42046,36534,32237,25433,17530,11930,10479,2022,12,F
2023-01-01,1262547,183004,211284,206003,140750,54576,55752,56812,46722,44023,42130,43870,42406,36924,32454,25651,17613,12035,10538,2023,1,F
2023-02-01,1257059,182732,211247,206165,140249,53895,54732,55855,45989,43512,41681,43421,42250,36874,32567,25597,17666,12092,10535,2023,2,F
2023-03-01,1269550,185644,214269,208805,141847,53847,54624,56012,46210,43615,42046,43757,42544,37206,32839,25699,17799,12162,10625,2023,3,F
2023-04-01,1248288,181986,210881,205594,139185,52625,53568,54870,45394,42674,41216,43072,42049,36728,32482,25407,17836,12080,10641,2023,4,F
2023-05-01,1264596,184424,213495,208154,141131,53044,53948,55825,46004,43374,41733,43831,42618,37439,32869,25812,18044,12120,10731,2023,5,F
2023-06-01,1261017,184343,213879,208296,140869,52312,53093,55349,45597,43016,41289,43566,42357,37495,32795,25864,18051,12096,10750,2023,6,F
2023-07-01,1266789,182731,212599,207047,140580,55361,56155,57462,46991,43748,41486,43595,42193,37487,32523,25878,18062,12093,10798,2023,7,F
2023-08-01,1253258,180597,211333,206307,139830,52086,53444,56095,46211,43262,41360,43553,42046,37505,32607,25895,18093,12144,10890,2023,8,F
2023-09-01,1253413,181013,212289,207497,140288,51130,52559,55300,45792,43068,41255,43501,42083,37698,32753,25991,18158,12151,10887,2023,9,F
2023-10-01,1258934,180514,212673,208361,140996,51047,52944,55455,45820,43070,41372,43921,43052,38824,33393,26341,18237,12106,10808,2023,10,F
2023-11-01,1254741,180083,212691,208918,140750,50317,52241,55031,45550,42873,41327,43667,42466,38141,33100,26333,18295,12164,10794,2023,11,F
2023-12-01,1249934,179562,212282,208794,140500,49306,51171,54328,45169,42295,41236,43693,42336,38277,33119,26432,18408,12171,10855,2023,12,F
