Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Distrito Nacional,Monte Plata,Santo Domingo,Total Región Este,Total V - Este,El Seybo,Hato Mayor del Rey,La Altagracia,La Romana,San Pedro de Macorís,Total Región Norte,Total II - Norcentral,Espaillat,Puerto Plata,Santiago,Total III - Nordeste,Duarte,Hermanas Mirabal,Maria Trinidad Sanchez,Samaná,Total VII - Cibao Occidental,Dajabon,Montecristi,Santiago Rodriguez,Valverde,Total VIII - Cibao Central,La vega,Monseñor Nouel,Sanchez Ramirez,Total Región Sur,Total I - Valdesia,Peravia,San Cristóbal,San José de Ocoa,Total IV - Enriquillo,Bahoruco,Barahona,Independencia,Pedernales,Total VI - El Valle,Azua,Elias Piña,San Juan de la Maguana,No Especificada,Month,Year,Periodo de Cobertura
4034900,1567199,1567199,1135418,38331,393450,333819,333819,18466,22461,90076,105771,97045,1082823,574924,76733,96882,401309,183140,97770,28077,35598,21695,114825,19647,25942,17643,51593,209934,115601,53118,41215,420077,204314,41895,13317,149102,90661,19827,51039,14397,5398,125102,46292,13744,65066,630982,8,2018,2018-08-01
4083886,1586350,1586350,1147367,38890,400093,337647,337647,18596,22616,91178,107185,98072,1094019,580581,77388,98164,405029,185287,98915,28292,36144,21936,115697,19755,26118,17745,52079,212454,117040,53789,41625,424795,206627,42252,13377,150998,91626,20103,51620,14511,5392,126542,46894,13906,65742,641075,9,2018,2018-09-01
4095628,1591588,1591588,1149114,39185,403289,336751,336751,18557,22608,91107,106776,97703,1100791,584632,77634,98389,408609,185700,99119,28395,36223,21963,116660,19774,26267,17966,52653,213799,118107,53722,41970,426967,206782,42265,13458,151059,92577,20288,52210,14583,5496,127608,47307,14050,66251,639531,10,2018,2018-10-01
4136555,1607432,1607432,1159630,39618,408184,338412,338412,18625,22654,91433,107182,98518,1111951,590538,77903,99305,413330,187998,100547,28564,36772,22115,118207,20232,26739,18094,53142,215208,118829,54319,42060,430245,207746,42281,13554,151911,93432,20467,52721,14655,5589,129067,47913,14114,67040,648515,11,2018,2018-11-01
4153987,1613459,1613459,1164142,39607,409710,339504,339504,18728,22655,92247,107404,98470,1116467,592711,78180,99620,414911,188812,100566,28551,36990,22705,118928,20235,26910,18209,53574,216016,119508,54439,42069,432821,209051,42819,13532,152700,93790,20733,52872,14651,5534,129980,48439,14131,67410,651736,12,2018,2018-12-01
4155766,1616962,1616962,1166754,39671,410537,342409,342409,18822,22670,93132,109079,98706,1112612,589958,77981,99619,412358,188277,100641,28521,36700,22415,119022,20369,26926,18226,53501,215355,118855,54292,42208,433144,209081,42826,13627,152628,94172,20819,52968,14788,5597,129891,48259,14146,67486,650639,1,2019,2019-01-01
4174146,1622019,1622019,1170049,39870,412100,345139,345139,19020,22731,94412,109740,99236,1119478,595616,78536,100900,416180,188300,100211,28570,36958,22561,119135,20252,26891,18374,53618,216427,119391,54853,42183,433876,209349,43055,13559,152735,94472,20873,53233,14771,5595,130055,48276,14185,67594,653634,2,2019,2019-02-01
4206518,1632952,1632952,1177381,40076,415495,347057,347057,19042,22886,95019,110499,99611,1132029,602251,78814,101664,421773,191065,101828,29031,37474,22732,120323,20458,27259,18400,54206,218390,120850,55055,42485,437896,211333,43290,13687,154356,94878,20999,53363,14865,5651,131685,49147,14345,68193,656584,3,2019,2019-03-01
4223181,1637741,1637741,1180267,40699,416775,350184,350184,19518,23291,95823,111143,100409,1141043,605625,79805,102786,423034,193791,102906,29462,38258,23165,121321,20461,27393,18858,54609,220306,121511,55748,43047,442706,212338,43482,13900,154956,96169,21262,54109,15051,5747,134199,49639,14710,69850,651507,4,2019,2019-04-01
4217351,1229939,1229939,815862,66596,347481,428134,428134,42285,43182,99443,109767,133457,1462305,690902,112720,143572,434610,281234,130184,51277,62731,37042,174983,32468,40759,36322,65434,315186,162989,78856,73341,698056,283999,58691,28986,196322,158334,40439,85658,24252,7985,255723,78986,37705,139032,398917,5,2019,2019-05-01
4233807,1230667,1230667,814499,66544,349624,428283,428283,42330,43366,99509,109961,133117,1460546,690457,112483,143354,434620,280598,130851,51024,62475,36248,175095,32730,40696,36372,65297,314396,162745,78411,73240,697994,283186,58531,29080,195575,158357,40286,85761,24295,8015,256451,79618,37800,139033,416317,6,2019,2019-06-01
4246879,1231712,1231712,814815,66687,350210,427368,427368,42112,43213,99522,109635,132886,1457386,688463,112285,142855,433323,280862,130933,51087,62430,36412,175189,32895,40674,36509,65111,312872,161881,78017,72974,697368,283011,58335,28938,195738,157556,40173,85218,24213,7952,256801,80293,37768,138740,433045,7,2019,2019-07-01
4263667,1233883,1233883,814317,66739,352827,425013,425013,42026,43034,99048,108673,132232,1457258,688849,112301,142470,434078,280827,131153,50851,62213,36610,174583,32692,40454,36342,65095,312999,162289,77983,72727,697178,281316,58031,28902,194383,158089,40183,85732,24172,8002,257773,81174,37723,138876,450335,8,2019,2019-08-01
4279150,1235915,1235915,814687,66693,354535,424216,424216,41682,42844,98545,109151,131994,1456169,688615,112266,142306,434043,280281,130876,50477,62556,36372,174513,32778,40549,36304,64882,312760,161589,78064,73107,696991,281778,57822,28817,195139,157596,40014,85525,24060,7997,257617,81506,37772,138339,465859,9,2019,2019-09-01
4286237,1236921,1236921,814537,66618,355766,421788,421788,41506,42660,97728,108854,131040,1453025,687672,111969,142038,433665,280307,130769,50726,62505,36307,174025,32874,40474,36196,64481,311021,160873,77609,72539,696414,280841,57577,28692,194572,157406,39943,85358,24054,8051,258167,82350,37683,138134,478089,10,2019,2019-10-01
4300298,1240817,1240817,815939,66527,358351,419161,419161,41134,42453,97071,108536,129967,1448309,684475,111572,141654,431249,280170,130785,50603,62169,36613,173586,32801,40450,36094,64241,310078,160680,77268,72130,696788,280397,57418,28719,194260,157563,40038,85423,24088,8014,258828,83393,37583,137852,495223,11,2019,2019-11-01
4228661,1232622,1232622,809989,66034,356599,412900,412900,40789,41641,96205,107014,127251,1403105,666509,108605,137559,420345,269667,125572,49326,59511,35258,166356,31987,38591,34996,60782,300573,155513,74630,70430,684017,273693,54594,28122,190977,155026,39588,84125,23357,7956,255298,81984,37143,136171,496017,12,2019,2019-12-01
4266392,1234393,1234393,809866,66161,358366,416252,416252,41273,41798,97198,107961,128022,1410066,666856,108587,138616,419653,272651,128053,49384,59764,35450,168812,32519,39221,35280,61792,301747,155607,75118,71022,689896,276350,56598,28312,191440,156730,39807,84771,24186,7966,256816,83583,37039,136194,515785,1,2020,2020-01-01
4269009,1232242,1232242,807154,66065,359023,416077,416077,41294,41997,97341,107632,127813,1406068,665165,108680,138478,418007,271241,126594,48506,60210,35931,168031,32267,39211,35069,61484,301631,155599,75412,70620,687939,275402,56065,28174,191163,156016,39689,84473,23872,7982,256521,83775,36811,135935,526683,2,2020,2020-02-01
4290754,1235845,1235845,808445,66172,361228,417116,417116,41164,42022,97424,108109,128397,1405168,665435,108077,138378,418980,269856,126382,48876,59350,35248,168393,32739,39105,34938,61611,301484,155851,75304,70329,691680,276876,56512,28220,192144,156743,39636,84533,24596,7978,258061,85031,36946,136084,540945,3,2020,2020-03-01
4003938,1150897,1150897,750700,61866,338331,393920,393920,39205,39525,91926,102811,120453,1308381,621099,101427,128145,391527,249712,115567,45470,55416,33259,156273,30709,36374,33028,56162,281297,145052,69775,66470,649111,258513,52328,26415,179770,148632,37487,79946,23636,7563,241966,79485,34638,127843,501629,4,2020,2020-04-01
4033355,1168948,1168948,764522,62468,341958,386068,386068,38582,39154,89387,100768,118177,1317066,619638,101085,126948,391605,254048,119484,46257,55291,33016,156966,31106,36477,33025,56358,286414,149397,70415,66602,654024,258945,51887,26712,180346,149908,37924,80567,23808,7609,245171,80247,35204,129720,507249,5,2020,2020-05-01
4154465,1197154,1197154,783018,63959,350177,393757,393757,39396,40026,90097,102189,122049,1364044,643094,105216,131522,406356,263073,123736,47836,57333,34168,163196,31823,37791,34265,59317,294681,153153,72965,68563,667854,265623,52833,27242,185548,152469,38493,82000,24221,7755,249762,81119,35930,132713,531656,6,2020,2020-06-01
4188552,1202665,1202665,786363,63988,352314,396996,396996,39746,40287,90886,103242,122835,1372298,648357,105123,132711,410523,264258,124230,47744,58312,33972,164148,31713,37967,34427,60041,295535,153443,73377,68715,671706,268210,53885,27484,186841,152859,38542,82182,24358,7777,250637,81875,35932,132830,544887,7,2020,2020-07-01
4151408,1194034,1194034,780721,63418,349895,380415,380415,38108,38587,84446,100293,118981,1364219,647132,105008,131541,410583,260672,122605,47127,57625,33315,163450,31435,37500,34207,60308,292965,152526,72654,67785,666897,267543,54121,27075,186347,151253,38063,81452,23940,7798,248101,81160,35761,131180,545843,8,2020,2020-08-01
4147822,1203560,1203560,787509,63378,352673,376653,376653,37462,37975,84240,99906,117070,1349362,644104,104248,129644,410212,253409,119807,46689,55123,31790,159657,30917,37379,33355,58006,292192,153251,71856,67085,665214,266715,52878,27107,186730,151031,37961,81379,23878,7813,247468,80593,35716,131159,553033,9,2020,2020-09-01
4183727,1206180,1206180,789574,63061,353545,370866,370866,36848,37698,80946,98077,117297,1373398,652301,105368,130369,416564,262799,124542,47536,57690,33031,164080,31449,37785,34091,60755,294218,153646,72664,67908,665278,267302,54675,26872,185755,150681,37784,81078,24104,7715,247295,80988,35616,130691,568005,10,2020,2020-10-01
4134706,1237909,1237909,819657,61501,356751,360882,360882,34785,36040,77614,96539,115904,1332727,637702,102638,124271,410793,252937,120008,46185,55082,31662,157401,30117,36583,32622,58079,284687,148437,70191,66059,651242,262612,51721,26212,184679,147857,36849,78920,24534,7554,240773,78735,34738,127300,551946,11,2020,2020-11-01
4214903,1259418,1259418,834921,61670,362827,367765,367765,35127,36137,81802,98117,116582,1360989,651154,103548,127510,420096,258315,123559,46604,56321,31831,160722,30343,36977,33067,60335,290798,151635,72309,66854,655439,265251,53977,26298,184976,149068,36852,79303,25278,7635,241120,79551,34568,127001,571292,12,2020,2020-12-01
4117808,1221654,1221654,806184,61529,353941,362914,362914,34712,35597,80480,96662,115463,1319905,628799,101006,121069,406724,252512,120481,45533,54792,31706,156047,29482,35731,32188,58646,282547,147083,70649,64815,643462,260875,52818,26029,182028,146335,36626,77656,24671,7382,236252,78442,33936,123874,569873,1,2021,2021-01-01
3945881,1164321,1164321,768722,57720,337879,337941,337941,32594,33457,72826,91135,107929,1264888,601457,95491,112812,393154,241348,115865,43299,52510,29674,149706,28183,34255,30737,56531,272377,142243,67950,62184,611795,249794,50828,24716,174250,137827,34400,73335,23130,6962,224174,74679,32061,117434,566936,2,2021,2021-02-01
4017395,1190173,1190173,784757,58374,347042,341334,341334,32775,33606,74529,92117,108307,1281281,613059,97294,115614,400151,243260,116854,43765,52766,29875,151727,28575,34733,31131,57288,273235,142557,68397,62281,617763,251969,51682,24988,175299,139077,34518,73754,23678,7127,226717,76274,32308,118135,586844,3,2021,2021-03-01
4018374,1203999,1203999,795028,58070,350901,342470,342470,32649,33582,75604,92177,108458,1267463,611553,96193,115351,400009,236998,113088,43156,51522,29232,148312,28290,34284,30396,55342,270600,142282,66811,61507,613267,247839,48635,24629,174575,138889,34401,73651,23724,7113,226539,76333,32234,117972,591175,4,2021,2021-04-01
4086014,1227251,1227251,811882,58031,357338,351941,351941,33079,34095,79467,94289,111011,1282963,618000,96858,116745,404397,240587,115203,43473,52309,29602,149545,28341,34493,30734,55977,274831,144862,67730,62239,617453,251022,50346,24752,175924,138972,34592,73357,23888,7135,227459,77391,31985,118083,606406,5,2021,2021-05-01
4090662,1236553,1236553,818958,58038,359557,352111,352111,32520,33872,80910,94163,110646,1276183,616279,96450,117371,402458,238813,114873,43233,51560,29147,148878,28010,34193,30588,56087,272213,143754,67163,61296,613990,250711,50750,24549,175412,137792,34139,72934,23606,7113,225487,76800,31569,117118,611825,6,2021,2021-06-01
4148035,1250736,1250736,828449,58352,363935,359862,359862,33022,34210,85056,96201,111373,1288225,623351,97322,119028,407001,241707,116026,43508,52375,29798,150118,28456,34489,30633,56540,273049,143995,67301,61753,618417,252196,51274,24547,176375,139165,34319,73550,24080,7216,227056,77581,31673,117802,630795,7,2021,2021-07-01
4198858,1268051,1268051,839689,58785,369577,366877,366877,33675,34791,87683,97338,113390,1297499,628480,97672,120477,410331,242484,116337,43693,52647,29807,151000,28704,34700,30851,56745,275535,145674,67634,62227,620996,252906,51222,24671,177013,139690,34301,73759,24366,7264,228400,78611,31807,117982,645435,8,2021,2021-08-01
4214321,1274943,1274943,843758,58796,372389,368807,368807,33649,34786,88571,97907,113894,1299701,629127,97305,121710,410112,242759,116345,43412,52936,30066,151090,28692,34649,30737,57012,276725,146564,68041,62120,619928,252084,50483,24505,177096,139596,34283,73689,24362,7262,228248,78797,31642,117809,650942,9,2021,2021-09-01
4243256,1288306,1288306,852528,58630,377148,370604,370604,33729,34967,89719,98202,113987,1297658,629602,97068,122203,410331,242164,116732,43428,52360,29644,149939,28488,34574,30727,56150,275953,146112,67773,62068,621254,252593,50689,24531,177373,139763,34276,73761,24467,7259,228898,79335,31609,117954,665434,10,2021,2021-10-01
4290785,1304892,1304892,863329,58756,382807,373862,373862,33810,35160,91025,99256,114611,1304820,632548,97300,123343,411905,243386,116574,43139,53181,30492,152201,28862,34814,30902,57623,276685,146550,67817,62318,625780,255191,51670,24524,178997,140501,34405,74276,24514,7306,230088,80308,31635,118145,681431,11,2021,2021-11-01
4285359,1308802,1308802,865811,58659,384332,375861,375861,33891,35210,92197,99613,114950,1289760,626733,96671,122575,407487,237714,115488,42947,50524,28755,150414,28570,34483,30354,57007,274899,145810,67463,61626,622476,253576,50758,24186,178632,139194,34147,73301,24521,7225,229706,80425,31467,117814,688460,12,2021,2021-12-01
4328506,1319618,1319618,873229,58696,387693,379659,379659,34271,35322,94122,100378,115566,1300921,629618,96653,123584,409381,242810,116134,43172,53086,30418,151798,28991,34787,30633,57387,276695,146835,68078,61782,626857,255525,51635,179507,24383,140704,34339,74249,24785,7331,230628,81110,31541,117977,701451,1,2022,2022-01-01
4315977,1314508,1314508,869427,58334,386747,378955,378955,33930,35051,94640,100392,114942,1294548,626970,96327,122852,407791,241654,116293,42806,52421,30134,150550,28657,34380,30393,57120,275374,146045,67931,61398,620298,253378,51102,178214,24062,138957,33847,73467,24506,7137,227963,80539,31133,116291,707668,2,2022,2022-02-01
4398255,1345232,1345232,890235,59287,395710,384086,384086,34536,35428,95861,101505,116756,1308178,635264,97108,124437,413719,244188,117869,43213,52727,30379,151143,28863,34681,30517,57082,277583,147107,68240,62236,631688,257698,52258,180928,24512,141897,34508,74772,25230,7387,232093,82411,31619,118063,729071,3,2022,2022-03-01
4408871,1350934,1350934,894655,58952,397327,383285,383285,34377,35294,95739,101472,116403,1310075,636028,97585,124449,413994,243702,117776,43078,52260,30588,152620,28976,34885,30682,58077,277725,147288,68256,62181,630139,257037,52054,180604,24379,141367,34313,74527,25189,7338,231735,82350,31519,117866,734438,4,2022,2022-04-01
4427018,1356461,1356461,899183,58952,398326,383329,383329,34237,35159,96112,101992,115829,1310047,636548,97379,124538,414631,244208,117706,43074,52698,30730,151966,28739,34781,30440,58006,277325,147180,67977,62168,628565,256123,52006,179718,24399,141781,34499,74513,25340,7429,230661,81978,31311,117372,748616,5,2022,2022-05-01
4463544,1372982,1372982,911198,59111,402673,384737,384737,34338,35492,96467,101421,117019,1312407,637200,97189,124346,415665,244368,118055,42946,52765,30602,152540,28938,34827,30476,58299,278299,147797,68130,62372,630676,257464,52444,180613,24407,142286,34589,74674,25555,7468,230926,82057,31272,117597,762742,6,2022,2022-06-01
4485090,1383909,1383909,918776,59507,405626,385464,385464,34510,35460,97162,101836,116496,1312228,636714,96867,124629,415218,244621,118390,42228,52936,31067,152264,28890,34795,30335,58244,278629,148114,68385,62130,630583,257287,52321,180623,24343,142113,34600,74393,25596,7524,231183,82128,31349,117706,772906,7,2022,2022-07-01
4520183,1396360,1396360,928699,59601,408060,387539,387539,34565,35551,97643,102230,117550,1316941,639452,97080,124952,417420,245046,118287,43034,52761,30964,153181,29070,35067,30512,58532,279262,148379,68407,62476,633089,257947,52204,181406,24337,143365,34797,75159,25855,7554,231777,82608,31335,117834,786254,8,2022,2022-08-01
4529781,1403961,1403961,934517,59679,409765,386362,386362,34469,35377,97744,101836,116936,1313667,637456,96585,124304,416567,245682,118716,42974,52858,31134,152671,29020,35058,30171,58422,277858,147825,68061,61972,630995,257180,52314,180661,24205,142763,34640,74784,25810,7529,231052,82245,31249,117558,794796,9,2022,2022-09-01
4546118,1413546,1413546,942368,59513,411665,384689,384689,34372,35237,96958,101639,116483,1313362,637547,96612,124426,416509,244704,118295,42942,52799,30668,152801,29077,35016,30304,58404,278310,148041,68033,62236,630219,257118,52148,180769,24201,142193,34494,74486,25745,7468,230908,82177,31187,117544,804302,10,2022,2022-10-01
4558438,1421735,1421735,948194,59452,414089,384144,384144,34313,35109,96957,101433,116332,1309118,636374,96382,124141,415851,244780,118399,42712,52802,30867,151937,28987,34880,29972,58098,276027,146454,67698,61875,630024,256773,52179,180346,24248,142636,34430,74784,25887,7535,230615,82050,31107,117458,813417,11,2022,2022-11-01
4568910,1425804,1425804,953328,59421,413055,383953,383953,34254,35244,97047,101329,116079,1307711,635071,95844,124547,414680,244866,118329,42766,52529,31242,151449,28858,34737,29965,57889,276325,146759,67539,62027,629283,256497,51802,180626,24069,142685,34535,74648,25926,7576,230101,81720,31126,117255,822159,12,2022,2022-12-01
4561524,1426957,1426957,954651,59378,412928,381984,381984,34144,35005,96437,101146,115252,1298412,630232,95065,123688,411479,243197,116822,42486,52601,31288,150944,28940,34699,29638,57667,274039,145233,67078,61728,627019,254754,51171,179588,23995,142386,34472,74395,25973,7546,229879,81859,31019,117001,827152,1,2023,2023-01-01
4562245,1427994,1427994,956270,59092,412632,382340,382340,33910,35043,97155,101017,115215,1295305,628978,94817,123566,410595,242496,116807,42343,52546,30800,150575,28772,34594,29666,57543,273256,144903,66947,61406,623753,254049,50826,179182,24041,141300,34180,73815,25858,7447,228404,81423,30820,116161,832853,2,2023,2023-02-01
4615351,1446965,1446965,969012,59539,418414,384742,384742,34138,35250,98009,101712,115633,1305576,634358,95418,124539,414401,244671,117847,42688,52849,31287,151326,28868,34699,29775,57984,275221,146148,67455,61618,627755,255668,51495,180080,24093,142332,34438,74267,26119,7508,229755,82009,30916,116830,850313,3,2023,2023-03-01
4549884,1435632,1435632,962426,59147,414059,381033,381033,33990,34833,96154,101207,114849,1270439,623175,94102,122893,406180,229382,110297,40539,49247,29299,147779,28327,34155,29104,56193,270103,143293,66417,60393,618829,249649,47519,178417,23713,141566,34224,73968,25893,7481,227614,80980,30738,115896,843951,4,2023,2023-04-01
4597987,1449184,1449184,972493,59334,417357,381592,381592,33941,34884,96355,101293,115119,1283829,628999,94220,123657,411122,235308,113403,41573,49892,30440,148460,28581,34168,29160,56551,271062,144263,66121,60678,623266,252687,49367,179512,23808,142256,34282,74258,26169,7547,228323,81722,30799,115802,860116,5,2023,2023-05-01
4601382,1455419,1455419,976372,59246,419801,380735,380735,33889,34704,96762,100918,114462,1278007,627927,93968,123329,410630,232374,112004,40845,49493,30032,147781,28530,34153,29174,55924,269925,143563,66130,60232,621405,251477,48921,178885,23671,141817,34128,74020,26131,7538,228111,81905,30678,115528,865816,6,2023,2023-06-01
4573366,1449364,1449364,973458,58859,417047,377708,377708,33626,34376,96204,99928,113574,1262597,622091,93239,121781,407071,228571,109567,40535,48998,29471,146430,28248,33840,28789,55553,265505,141628,64585,59292,617214,250425,48907,178023,23495,140507,33900,73147,25913,7547,226282,81380,30489,114413,866483,7,2023,2023-07-01
4552390,1451796,1451796,973697,58953,419146,375741,375741,33265,34171,96022,99822,112461,1245453,613755,91607,120223,401925,224749,108828,39366,47539,29016,144506,28006,33200,28618,54682,262443,139528,64013,58902,613142,248926,47739,177779,23408,139700,33622,72659,25878,7541,224516,80765,30436,113315,866258,8,2023,2023-08-01
4568370,1457947,1457947,977414,59060,421473,374588,374588,33268,34172,95812,99323,112013,1246463,614172,91369,120632,402171,225369,108916,39436,47880,29137,144152,28027,33309,28412,54404,262770,140060,63849,58861,613117,248478,47643,177547,23288,139232,33569,72375,25786,7502,225407,81024,30380,114003,876255,9,2023,2023-09-01
4580047,1465164,1465164,982134,58776,424254,372318,372318,32873,34008,95220,99278,110939,1243360,613627,91262,120188,402177,223767,107896,39191,47717,28963,143760,28011,33270,28417,54062,262206,140391,63250,58565,614147,249296,47688,178301,23307,139534,33564,72488,25946,7536,225317,81605,30329,113383,885058,10,2023,2023-10-01
4579244,1468535,1468535,984969,58675,424891,371407,371407,32821,33880,95205,98974,110527,1237065,609449,90742,119396,399311,222773,107434,39038,47645,28656,143090,27828,32913,28228,54121,261753,139990,63270,58493,611945,248151,47054,177964,23133,139079,33287,72307,25942,7543,224715,81303,30291,113121,890292,11,2023,2023-11-01
4577068,1471117,1471117,986486,58693,425938,371322,371322,32824,33777,94970,99369,110382,1226841,605362,90149,118004,397209,220661,106279,38730,47260,28392,141193,27628,32347,28003,53215,259625,138864,62617,58144,611978,247897,47388,177468,23041,139058,33402,72221,25894,7541,225023,81663,30242,113118,895810,12,2023,2023-12-01
