Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Dispersada_mes,Total_Capitas_Dispersada_posterior,Titulares_Total_capitas,Titulares_Dispersadas_mes_capitas,Titulares_Dispersadas_posterior_capitas,Dependientes_Total_capitas,Dependientes_Dispersadas_mes_capitas,Dependientess_Dispersadas_posterior_capitas,Adicionales_Total_capitas,Adicionales_Dispersadas_mes_capitas,Adicionales_Dispersadas_posterior_capitas,Year,Month,Total_Monto_Dispersadas,Total_Monto_Dispersada_mes,Total_Monto_Dispersada_posterior,Titulares_Total_monto,Titulares_Dispersadas_mes_monto,Titulares_Dispersadas_posterior_monto,Dependientes_Total_monto,Dependientes_Dispersadas_mes_monto,Dependientess_Dispersadas_posterior_monto,Adicionales_Total_monto,Adicionales_Dispersadas_mes_monto,Adicionales_Dispersadas_posterior_monto,Tipo_de_ARS
2020-12-01,2908453,2849760,58693,1262745,1238519,24226,1505917,1472378,33539,139791,138863,928,2020,12,3396520461,3327978225,68542236,1474646224,1446354873,28291351,1758624915,1719457752,39167163,163249322,162165600,1083722,Privada
2021-01-01,2871818,2767045,104773,1251265,1205560,45705,1488959,1432315,56644,131594,129170,2424,2021,1,3353737738,3231382820,122354918,1461239765,1407865023,53374742,1738821195,1672671780,66149415,153676778,150846017,2830761,Privada
2021-02-01,2726640,2648704,77936,1197397,1163038,34359,1401634,1359561,42073,127609,126105,1504,2021,2,3184197415,3093183017,91014398,1398332173,1358207406,40124767,1636842186,1587708931,49133255,149023056,147266680,1756376,Privada
2021-03-01,2750729,2694056,56673,1211795,1188412,23383,1409321,1376988,32333,129613,128656,957,2021,3,3212328793,3146145536,66183257,1415146303,1387839417,27306886,1645819144,1608060356,37758788,151363346,150245763,1117583,Privada
2021-04-01,2806793,2699204,107589,1220560,1190953,29607,1454301,1377600,76701,131932,130651,1281,2021,4,3277800895,3152157422,125643473,1425382162,1390806822,34575340,1698347235,1608775056,89572179,154071498,152575544,1495954,Privada
2021-05-01,2847882,2742058,105824,1237133,1208170,28963,1477868,1402309,75559,132881,131579,1302,2021,5,3325785035,3202202751,123582284,1444736273,1410913007,33823266,1725869013,1637630473,88238540,155179749,153659271,1520478,Privada
2021-06-01,2808621,2744154,64467,1239117,1211297,27820,1434520,1399106,35414,134984,133751,1233,2021,6,3279935652,3204650481,75285171,1447053212,1414564749,32488463,1675246787,1633889977,41356810,157635653,156195755,1439898,Privada
2021-07-01,2842438,2775894,66544,1253407,1224390,29017,1452532,1416358,36174,136499,135146,1353,2021,7,3319427483,3241716770,77710713,1463741214,1429854885,33886329,1696281381,1654037035,42244346,159404888,157824850,1580038,Privada
2021-08-01,2862104,2800582,61522,1263656,1237753,25903,1460571,1426228,34343,137877,136601,1276,2021,8,3342393641,3270547663,71845978,1475710102,1445460330,30249772,1705669409,1665563320,40106089,161014130,159524013,1490117,Privada
2021-09-01,2871930,2803013,68917,1266670,1239377,27293,1466422,1426076,40346,138838,137560,1278,2021,9,3353868532,3273386610,80481922,1479229879,1447356854,31873025,1712502259,1665385813,47116446,162136394,160643943,1492451,Privada
2021-10-01,2865846,2809204,56642,1266417,1242949,23468,1459672,1427722,31950,139757,138533,1224,2021,10,3782937828,3707923881,75013947,1681561148,1650400111,31161037,1938167068,1895743548,42423520,163209612,161780222,1429390,Privada
2021-11-01,2886119,2834546,51573,1277543,1256919,20624,1467971,1438032,29939,140605,139595,1010,2021,11,3809720838,3741403322,68317516,1696334362,1668949617,27384745,1949186561,1909433269,39753292,164199915,163020436,1179479,Privada
2021-12-01,2889482,2826266,63216,1283044,1256123,26921,1465439,1430391,35048,140999,139752,1247,2021,12,3836683062,3752744256,83938806,1703638640,1667892680,35745960,1945824549,1899287473,46537076,187219873,185564103,1655770,Privada
2022-01-01,2907037,2844729,62308,1293683,1267570,26113,1472787,1437831,34956,140567,139328,1239,2022,1,3859992774,3777259612,82733162,1717765216,1683092121,34673095,1955581297,1909166380,46414917,186646261,185001111,1645150,Privada
2022-02-01,2914337,2839257,75080,1297946,1265460,32486,1475245,1434529,40716,141146,139268,1878,2022,2,3869685787,3769993836,99691951,1723425670,1680290442,43135228,1958845054,1904781951,54063103,187415063,184921443,2493620,Privada
2022-03-01,2928834,2880508,48326,1304869,1285128,19741,1482007,1454358,27649,141958,141022,936,2022,3,3888935048,3824767325,64167723,1732618096,1706405809,26212287,1967823705,1931111095,36712610,188493247,187250421,1242826,Privada
2022-04-01,2944496,2879698,64798,1314828,1288521,26307,1486930,1449666,37264,142738,141511,1227,2022,4,3909731211,3823691800,86039411,1745841759,1710911069,34930690,1974360515,1924881011,49479504,189528937,187899720,1629217,Privada
2022-05-01,2942760,2887382,55378,1314770,1291054,23716,1485582,1455023,30559,142408,141305,1103,2022,5,3907426132,3833894692,73531440,1745764745,1714274411,31490334,1972570629,1931994089,40576540,189090758,187626192,1464566,Privada
2022-06-01,2950672,2897840,52832,1319270,1296818,22452,1488689,1459378,29311,142713,141644,1069,2022,6,3917931765,3847780929,70150836,1751739890,1721927908,29811982,1976696134,1937776702,38919432,189495741,188076319,1419422,Privada
2022-07-01,2957115,2902440,54675,1323001,1298951,24050,1491380,1461704,29676,142734,141785,949,2022,7,3926486852,3853888855,72597997,1756693951,1724760127,31933824,1980269272,1940865188,39404084,189523629,188263540,1260089,Privada
2022-08-01,2964396,2913066,51330,1326321,1304272,22049,1495659,1467288,28371,142416,141506,910,2022,8,3937370103,3867998164,69371939,1761563448,1731825404,29738044,1986705272,1948279679,38425593,189101383,187893081,1208302,Privada
2022-09-01,2965134,2908823,56311,1327246,1302876,24370,1495178,1464386,30792,142710,141561,1149,2022,9,3946089009,3862364266,83724743,1766286489,1729971781,36314708,1990310760,1944426374,45884386,189491760,187966111,1525649,Privada
2022-10-01,2961801,2906550,55251,1327411,1303390,24021,1492135,1461866,30269,142255,141294,961,2022,10,4390405875,4308230161,82175714,1978028222,1942233574,35794648,2223490045,2178385001,45105044,188887608,187611586,1276022,Privada
2022-11-01,2961576,2905891,55685,1329367,1305441,23926,1490425,1459732,30693,141784,140718,1066,2022,11,4413162841,4330184413,82978428,1980942934,1945289851,35653083,2220941903,2175205042,45736861,211278004,209689520,1588484,Privada
2022-12-01,2956743,2898994,57749,1331134,1306047,25087,1484617,1453119,31498,140992,139828,1164,2022,12,4405961000,4319906917,86054083,1983576014,1946192876,37383138,2212287172,2165350746,46936426,210097814,208363295,1734519,Privada
2023-01-01,2924474,2863162,61312,1320203,1293200,27003,1465774,1432629,33145,138497,137333,1164,2023,1,4357875669,4266512222,91363447,1967287292,1927049048,40238244,2184208463,2134817778,49390685,206379914,204645396,1734518,Privada
2023-02-01,2909410,2841597,67813,1315542,1285174,30368,1456496,1420473,36023,137372,135950,1422,2023,2,4515610674,4410244408,105366266,2045851981,1998625494,47226487,2265055185,2209034381,56020804,204703508,202584533,2118975,Privada
2023-03-01,2894479,2847666,46813,1310674,1290380,20294,1447846,1422134,25712,135959,135152,807,2023,3,4492482725,4419734422,72748303,2038281562,2006721553,31560009,2251603223,2211617468,39985755,202597940,201395401,1202539,Privada
2023-04-01,2851805,2790981,60824,1296258,1268966,27292,1420517,1388187,32330,135030,133828,1202,2023,4,4434956018,4340366191,94589827,2015862663,1973419785,42442878,2209102804,2158825131,50277673,209990551,208121275,1869276,Privada
2023-05-01,2854223,2802999,51224,1296619,1273623,22996,1424006,1396750,27256,133598,132626,972,2023,5,4438716345,4359055864,79660481,2016424068,1980662072,35761996,2214528687,2172141795,42386892,207763590,206251997,1511593,Privada
2023-06-01,2849494,2796695,52799,1294809,1271221,23588,1421512,1393429,28083,133173,132045,1128,2023,6,4431362088,4349252261,82109827,2013609264,1976926625,36682639,2210650168,2166977175,43672993,207102656,205348461,1754195,Privada
2023-07-01,2830049,2771482,58567,1286842,1260400,26442,1410717,1379886,30831,132490,131196,1294,2023,7,4401122393,4310042517,91079876,2001219466,1960098456,41121010,2193862432,2145915914,47946518,206040495,204028147,2012348,Privada
2023-08-01,2796457,2742199,54258,1272733,1248973,23760,1391635,1362321,29314,132089,130905,1184,2023,8,4348882132,4264503351,84378781,1979277995,1942327871,36950124,2164187252,2118599879,45587373,205416885,203575601,1841284,Privada
2023-09-01,2797987,2742862,55125,1273357,1249009,24348,1393006,1363340,29666,131624,130513,1111,2023,9,4351261498,4265534409,85727089,1980248403,1942383856,37864547,2166319350,2120184567,46134783,204693745,202965986,1727759,Privada
2023-10-01,2790660,2739546,51114,1271006,1248142,22864,1387819,1360673,27146,131835,130731,1104,2023,10,4339866988,4260377565,79489423,1976592269,1941035549,35556720,2158252838,2116037009,42215829,205021881,203305007,1716874,Privada
2023-11-01,2778020,2732271,45749,1267367,1246494,20873,1378941,1355202,23739,131712,130575,1137,2023,11,4325923926,4249063922,76860004,1973606530,1938472679,35133851,2147486797,2107528838,39957959,204830599,203062405,1768194,Privada
2023-12-01,2720164,2720164,0,1243992,1243992,0,1345730,1345730,0,130442,130442,0,2023,12,4236534815,4236534815,0,1937623490,1937623490,0,2096055754,2096055754,0,202855571,202855571,0,Privada
2007-09-01,321977,298937,23040,295069,274092,20977,24652,22589,2063,2256,2256,0,2007,9,155621128,144485219,11135909,142615699,132476886,10138813,11915037,10917941,997096,1090392,1090392,0,Publica
2007-10-01,337618,329619,7999,307462,300078,7384,27697,27082,615,2459,2459,0,2007,10,163180879,159314750,3866129,148605600,145036699,3568901,13386771,13089543,297228,1188508,1188508,0,Publica
2007-11-01,355760,305712,50048,314892,277985,36907,38335,27685,10650,2533,42,2491,2007,11,171949450,147759780,24189670,152196740,134358490,17838250,18528436,13380991,5147445,1224274,20299,1203975,Publica
2007-12-01,366525,357791,8734,314306,306241,8065,49692,49023,669,2527,2527,0,2007,12,177152498,172931122,4221376,151913509,148015462,3898047,24017615,23694286,323329,1221374,1221374,0,Publica
2008-01-01,363932,350497,13435,306476,294797,11679,54885,53129,1756,2571,2571,0,2008,1,225637840,217308140,8329700,190015120,182774140,7240980,34028700,32939980,1088720,1594020,1594020,0,Publica
2008-02-01,362646,346500,16146,298536,284689,13847,60925,58628,2297,3185,3183,2,2008,2,224840520,214830000,10010520,185092320,176507180,8585140,37773500,36349360,1424140,1974700,1973460,1240,Publica
2008-03-01,370070,356341,13729,302307,290593,11714,64546,62531,2015,3217,3217,0,2008,3,229443400,220931420,8511980,187430340,180167660,7262680,40018520,38769220,1249300,1994540,1994540,0,Publica
2008-04-01,383297,369472,13825,311030,299336,11694,69018,66887,2131,3249,3249,0,2008,4,237644140,229072640,8571500,192838600,185588320,7250280,42791160,41469940,1321220,2014380,2014380,0,Publica
2008-05-01,388379,373122,15257,309233,296103,13130,75864,73737,2127,3282,3282,0,2008,5,240794980,231335640,9459340,191724460,183583860,8140600,47035680,45716940,1318740,2034840,2034840,0,Publica
2008-06-01,398698,389133,9565,313288,304746,8542,82068,81046,1022,3342,3341,1,2008,6,247192760,241262460,5930300,194238560,188942520,5296040,50882160,50248520,633640,2072040,2071420,620,Publica
2008-07-01,413129,400922,12207,318328,307569,10759,91046,89611,1435,3755,3742,13,2008,7,256139980,248571640,7568340,197363360,190692780,6670580,56448520,55558820,889700,2328100,2320040,8060,Publica
2008-08-01,426622,412436,14186,322786,310874,11912,99922,97650,2272,3914,3912,2,2008,8,264505640,255710320,8795320,200127320,192741880,7385440,61951640,60543000,1408640,2426680,2425440,1240,Publica
2008-09-01,430520,415787,14733,321556,309101,12455,105046,102778,2268,3918,3908,10,2008,9,266922400,257787940,9134460,199364720,191642620,7722100,65128520,63722360,1406160,2429160,2422960,6200,Publica
2008-10-01,426766,417180,9586,314147,306250,7897,108718,107030,1688,3901,3900,1,2008,10,264594920,258651600,5943320,194771140,189875000,4896140,67405160,66358600,1046560,2418620,2418000,620,Publica
2008-11-01,409682,398195,11487,297222,287609,9613,108218,106346,1872,4242,4240,2,2008,11,254002840,246880900,7121940,184277640,178317580,5960060,67095160,65934520,1160640,2630040,2628800,1240,Publica
2008-12-01,411897,396219,15678,292147,279378,12769,115269,112373,2896,4481,4468,13,2008,12,255376140,245655780,9720360,181131140,173214360,7916780,71466780,69671260,1795520,2778220,2770160,8060,Publica
2009-01-01,415925,401077,14848,289504,277546,11958,121753,118864,2889,4668,4667,1,2009,1,257873500,248667740,9205760,179492480,172078520,7413960,75486860,73695680,1791180,2894160,2893540,620,Publica
2009-02-01,419977,407534,12443,288712,279131,9581,126407,123548,2859,4858,4855,3,2009,2,260385740,252671080,7714660,179001440,173061220,5940220,78372340,76599760,1772580,3011960,3010100,1860,Publica
2009-03-01,423727,413106,10621,287794,279271,8523,130832,128765,2067,5101,5070,31,2009,3,262710740,256125720,6585020,178432280,173148020,5284260,81115840,79834300,1281540,3162620,3143400,19220,Publica
2009-04-01,421251,414012,7239,279389,273996,5393,136328,134527,1801,5534,5489,45,2009,4,261175620,256687440,4488180,173221180,169877520,3343660,84523360,83406740,1116620,3431080,3403180,27900,Publica
2009-05-01,422016,410950,11066,275059,267018,8041,141026,138040,2986,5931,5892,39,2009,5,261649920,254789000,6860920,170536580,165551160,4985420,87436120,85584800,1851320,3677220,3653040,24180,Publica
2009-06-01,420654,418016,2638,269061,267366,1695,145161,144225,936,6432,6425,7,2009,6,260805480,259169920,1635560,166817820,165766920,1050900,89999820,89419500,580320,3987840,3983500,4340,Publica
2009-07-01,430947,426877,4070,272999,270376,2623,150991,149552,1439,6957,6949,8,2009,7,267187140,264663740,2523400,169259380,167633120,1626260,93614420,92722240,892180,4313340,4308380,4960,Publica
2009-08-01,454917,443746,11171,286530,278443,8087,160446,157366,3080,7941,7937,4,2009,8,300781251,293387275,7393976,189657054,184304206,5352848,106200777,104162129,2038648,4923420,4920940,2480,Publica
2009-09-01,462264,450094,12170,287614,278827,8787,166271,162897,3374,8379,8370,9,2009,9,305625952,297570932,8055020,190374569,184558379,5816190,110056403,107823153,2233250,5194980,5189400,5580,Publica
2009-10-01,470494,456570,13924,288008,278076,9932,173671,169695,3976,8815,8799,16,2009,10,311055197,301839482,9215715,190635361,184061285,6574076,114954536,112322817,2631719,5465300,5455380,9920,Publica
2009-11-01,479443,464422,15021,288474,278177,10297,181611,176928,4683,9358,9317,41,2009,11,317348056,307405565,9942491,190943808,184128138,6815670,120210098,117110412,3099686,6194150,6167015,27135,Publica
2009-12-01,488294,473989,14305,289576,279912,9664,188319,183787,4532,10399,10290,109,2009,12,351674835,341360606,10314229,208923276,201950909,6972367,135868361,132598644,3269717,6883198,6811053,72145,Publica
2010-01-01,496776,480371,16405,290076,279161,10915,195834,190421,5413,10866,10789,77,2010,1,357766601,345935367,11831234,209284013,201409078,7874935,141290276,137384943,3905333,7192312,7141346,50966,Publica
2010-02-01,502588,487001,15587,291281,281326,9955,199930,194328,5602,11377,11347,30,2010,2,362607131,351361480,11245651,210153393,202971082,7182311,144245462,140203765,4041697,8208276,8186633,21643,Publica
2010-03-01,510714,499004,11710,293096,285057,8039,205680,202053,3627,11938,11894,44,2010,3,368469882,360021405,8448477,211462881,205662924,5799957,148393973,145777198,2616775,8613028,8581283,31745,Publica
2010-04-01,518407,506982,11425,295200,287618,7582,210627,206825,3802,12580,12539,41,2010,4,374020228,365777372,8242856,212980876,207510634,5470242,151963136,149220101,2743035,9076216,9046637,29579,Publica
2010-05-01,522557,508738,13819,293996,284642,9354,215317,210895,4422,13244,13201,43,2010,5,377014366,367044291,9970075,212112212,205363510,6748702,155346875,152156524,3190351,9555279,9524257,31022,Publica
2010-06-01,528956,506990,21966,294451,280197,14254,220556,213026,7530,13949,13767,182,2010,6,381631118,365783144,15847974,212440487,202156531,10283956,159126708,153693998,5432710,10063923,9932615,131308,Publica
2010-07-01,534465,517129,17336,294507,283697,10810,224716,218373,6343,15242,15059,183,2010,7,385605749,373098230,12507519,212480889,204681711,7799178,162128064,157551752,4576312,10996796,10864767,132029,Publica
2010-08-01,539876,524492,15384,293497,284293,9204,230319,224327,5992,16060,15872,188,2010,8,389509673,378410486,11099187,211752195,205111713,6640482,166170511,161847443,4323068,11586967,11451330,135637,Publica
2010-09-01,543575,530246,13329,292631,284418,8213,234240,229255,4985,16704,16573,131,2010,9,392178428,382561883,9616545,211127393,205201898,5925495,168999434,165402897,3596537,12051601,11957088,94513,Publica
2010-10-01,546141,533041,13100,291360,283536,7824,237374,232213,5161,17407,17292,115,2010,10,394029749,384578420,9451329,210210392,204565553,5644839,171260557,167537035,3723522,12558800,12475832,82968,Publica
2010-11-01,549745,539923,9822,290147,284129,6018,241331,237575,3756,18267,18219,48,2010,11,396629968,389543645,7086323,209335241,204993390,4341851,174115453,171405611,2709842,13179274,13144644,34630,Publica
2010-12-01,555803,547199,8604,291727,286373,5354,244996,241828,3168,19080,18998,82,2010,12,401000695,394793134,6207561,210475179,206612392,3862787,176759678,174474065,2285613,13765838,13706677,59161,Publica
2011-01-01,560442,548931,11511,292585,285246,7339,248326,244200,4126,19531,19485,46,2011,1,404347635,396042737,8304898,211094207,205799284,5294923,179162204,176185416,2976788,14091224,14058037,33187,Publica
2011-02-01,566231,554892,11339,294097,286607,7490,252022,248249,3773,20112,20036,76,2011,2,408524287,400343479,8180808,212185085,206781218,5403867,181828799,179106688,2722111,14510403,14455573,54830,Publica
2011-03-01,574104,562710,11394,296639,289465,7174,256358,252237,4121,21107,21008,99,2011,3,414204494,405984009,8220485,214019085,208843208,5175877,184957133,181983950,2973183,15228276,15156851,71425,Publica
2011-04-01,580709,570536,10173,298016,291745,6271,260680,256863,3817,22013,21928,85,2011,4,418969865,411630312,7339553,215012560,210488182,4524378,188075368,185321517,2753851,15881937,15820613,61324,Publica
2011-05-01,582290,559811,22479,297049,283968,13081,262427,253274,9153,22814,22569,245,2011,5,420110525,403892439,16218086,214314891,204877232,9437659,189335794,182732125,6603669,16459840,16283082,176758,Publica
2011-06-01,588795,573265,15530,297975,288552,9423,267264,261368,5896,23556,23345,211,2011,6,424803759,413599230,11204529,214982985,208184496,6798489,192825595,188571784,4253811,16995179,16842950,152229,Publica
2011-07-01,592754,579935,12819,298130,290806,7324,270080,264740,5340,24544,24389,155,2011,7,427660101,418411502,9248599,215094814,209810712,5284102,194857286,191004615,3852671,17708001,17596175,111826,Publica
2011-08-01,597786,582302,15484,298094,289439,8655,274503,268012,6491,25189,24851,338,2011,8,431290582,420119245,11171337,215068839,208824449,6244390,198048387,193365297,4683090,18173356,17929499,243857,Publica
2011-09-01,597645,575117,22528,295493,283056,12437,276361,266933,9428,25791,25128,663,2011,9,431188845,414935411,16253434,213192266,204219242,8973024,199388892,192586820,6802072,18607687,18129349,478338,Publica
2011-10-01,597024,585041,11983,294995,287986,7009,275669,270812,4857,26360,26243,117,2011,10,430740817,422095379,8645438,212832975,207776139,5056836,198889634,195385441,3504193,19018208,18933799,84409,Publica
2011-11-01,595964,582585,13379,292913,285065,7848,275939,270530,5409,27112,26990,122,2011,11,469965243,459414878,10550365,230985319,224796557,6188762,217599947,213334547,4265400,21379977,21283774,96203,Publica
2011-12-01,595835,575795,20040,291860,281003,10857,276181,267739,8442,27794,27053,741,2011,12,469863521,454060419,15803102,230154944,221593345,8561599,217790789,211133620,6657169,21917788,21333454,584334,Publica
2012-01-01,594523,577164,17359,290757,281170,9587,275495,268024,7471,28271,27970,301,2012,1,468828905,455139985,13688920,229285143,221725038,7560105,217249820,211358365,5891455,22293942,22056582,237360,Publica
2012-02-01,594591,577712,16879,290391,280979,9412,275591,268429,7162,28609,28304,305,2012,2,468882524,455572127,13310397,228996519,221574419,7422100,217325523,211677740,5647783,22560482,22319968,240514,Publica
2012-03-01,593968,581874,12094,288990,282182,6808,275838,270697,5141,29140,28995,145,2012,3,468391233,458854198,9537035,227891717,222523081,5368636,217520299,213466240,4054059,22979217,22864877,114340,Publica
2012-04-01,598139,584218,13921,290900,283481,7419,277665,271433,6232,29574,29304,270,2012,4,471680406,460702629,10977777,229397905,223547446,5850459,218961040,214046635,4914405,23321461,23108548,212913,Publica
2012-05-01,597364,583735,13629,289641,282081,7560,277852,271977,5875,29871,29677,194,2012,5,471069250,460321744,10747506,228405082,222443434,5961648,219108500,214475622,4632878,23555668,23402688,152980,Publica
2012-06-01,597480,588171,9309,289025,284043,4982,278333,274133,4200,30122,29995,127,2012,6,471160730,463819886,7340844,227919317,223990628,3928689,219487810,216175801,3312009,23753603,23653457,100146,Publica
2012-07-01,586358,569266,17092,281450,271804,9646,274722,267462,7260,30186,30000,186,2012,7,462390134,448911781,13478353,221945821,214339198,7606623,216640241,210915183,5725058,23804072,23657400,146672,Publica
2012-08-01,596359,578509,17850,287078,278270,8808,278950,270784,8166,30331,29455,876,2012,8,470276723,456200625,14076098,226383951,219438156,6945795,219974358,213534846,6439512,23918414,23227623,690791,Publica
2012-09-01,594024,585059,8965,285213,280656,4557,278430,274136,4294,30381,30267,114,2012,9,468435390,461365824,7069566,224913250,221319708,3593542,219564298,216178166,3386132,23957842,23867950,89892,Publica
2012-10-01,592681,580806,11875,285267,279290,5977,277751,272083,5668,29663,29433,230,2012,10,467376335,458011995,9364340,224955835,220242508,4713327,219028854,214559212,4469642,23391646,23210275,181371,Publica
2012-11-01,593781,583102,10679,286432,281199,5233,277624,272363,5261,29725,29540,185,2012,11,468243767,459822574,8421193,225874531,221747907,4126624,218928698,214780014,4148684,23440538,23294653,145885,Publica
2012-12-01,594818,576766,18052,286735,277505,9230,277749,269790,7959,30334,29471,863,2012,12,469061526,454826131,14235395,226113469,218834892,7278577,219027275,212750998,6276277,23920782,23240241,680541,Publica
2013-01-01,593213,574935,18278,286027,276347,9680,276703,268950,7753,30483,29638,845,2013,1,467795860,453382242,14413618,225555159,217921717,7633442,218202420,212088591,6113829,24038281,23371934,666347,Publica
2013-02-01,595794,573810,21984,287045,275692,11353,278033,268279,9754,30716,29839,877,2013,2,469831187,452495088,17336099,226357933,217405197,8952736,219251235,211559453,7691782,24222019,23530438,691581,Publica
2013-03-01,595279,580130,15149,286731,278787,7944,277447,270548,6899,31101,30795,306,2013,3,469425069,457478914,11946155,226110318,219845852,6264466,218789128,213348741,5440387,24525623,24284321,241302,Publica
2013-04-01,597325,582608,14717,287280,279253,8027,278533,272156,6377,31512,31199,313,2013,4,471038502,459433015,11605487,226543245,220213330,6329915,219645528,214616778,5028750,24849729,24602907,246822,Publica
2013-05-01,597903,586620,11283,287096,280860,6236,278964,274094,4870,31843,31666,177,2013,5,471494302,462596798,8897504,226398148,221480578,4917570,219985405,216145046,3840359,25110749,24971174,139575,Publica
2013-06-01,598707,588574,10133,286432,281360,5072,280096,275186,4910,32179,32028,151,2013,6,472128323,464137683,7990640,225874531,221874868,3999663,220878079,217006175,3871904,25375713,25256640,119073,Publica
2013-07-01,597683,584708,12975,285755,279278,6477,279514,273208,6306,32414,32222,192,2013,7,471320817,461089033,10231784,225340664,220233045,5107619,220419125,215446364,4972761,25561028,25409624,151404,Publica
2013-08-01,598152,586566,11586,284965,279543,5422,280635,274647,5988,32552,32376,176,2013,8,498449187,488772944,9676243,238199377,233667198,4532179,234579957,229574680,5005277,25669853,25531066,138787,Publica
2013-09-01,597346,585246,12100,283819,278059,5760,281016,274819,6197,32511,32368,143,2013,9,499315487,489201277,10114210,237241444,232426737,4814707,234898429,229718453,5179976,27175614,27056087,119527,Publica
2013-10-01,593616,581843,11773,282097,275972,6125,278827,273359,5468,32692,32512,180,2013,10,496197622,486356744,9840878,235802046,230682235,5119811,233068669,228498054,4570615,27326907,27176455,150452,Publica
2013-11-01,595133,584686,10447,282152,276764,5388,280182,275276,4906,32799,32646,153,2013,11,497465669,488733178,8732491,235848016,231344259,4503757,234201302,230100455,4100847,27416351,27288464,127887,Publica
2013-12-01,593759,581968,11791,281248,274928,6320,279576,274263,5313,32935,32777,158,2013,12,496317155,486461230,9855925,235092373,229809565,5282808,233694751,229253699,4441052,27530031,27397966,132065,Publica
2014-01-01,589795,577568,12227,279981,273495,6486,277895,272374,5521,31919,31699,220,2014,1,493003690,482783314,10220376,234033301,228611735,5421566,232289624,227674702,4614922,26680765,26496877,183888,Publica
2014-02-01,588278,566245,22033,279085,267907,11178,277260,267662,9598,31933,30676,1257,2014,2,491735640,473318532,18417108,233284343,223940782,9343561,231758828,223735989,8022839,26692469,25641761,1050708,Publica
2014-03-01,588251,570791,17460,278651,269739,8912,276603,268701,7902,32997,32351,646,2014,3,491713070,477118487,14594583,232921564,225472132,7449432,231209649,224604478,6605171,27581857,27041877,539980,Publica
