Ano de Cobertura,Ingresos ARS Total_RC,Ingresos ARS Autogestion_RC,Ingresos ARS Privada_RC,Ingresos ARS Publica_RC,Gastos ARS Total_RC,Gastos ARS Autogestion_RC,Gastos ARS Privada_RC,Gastos ARS Publica_RC,Siniestralidad ARS Total_RC,Siniestralidad ARS Autogestion_RC,Siniestralidad ARS Privada_RC,Siniestralidad ARS Publica_RC,Ingresos ARS Total_OP,Ingresos ARS Autogestion_OP,Ingresos ARS Privada_OP,Ingresos ARS Publica_OP,Gastos ARS Total_OP,Gastos ARS Autogestion_OP,Gastos ARS Privada_OP,Gastos ARS Publica_OP,Siniestralidad ARS Total_OP,Siniestralidad ARS Autogestion_OP,Siniestralidad ARS Privada_OP,Siniestralidad ARS Publica_OP
2007,2381661744.0,336570229.0,1385136299.0,659955216.0,1719767325.0,194489003.0,973545223.0,551733099.0,0.737615630900593,0.580303255916109,0.7312641473542008,0.847218830272882,3141946703.0,362489348.0,1977749504.0,801707851.0,2402224096.0,192600663.0,1458503277.0,751120156.0,0.76456551401916,0.5313277867685094,0.7374560196072232,0.9369000878101666
2008,12258558889.0,1478327554.0,7817255641.0,2962975694.0,9869270716.0,1561558632.0,5695458805.0,2612253279.0,0.8050922465980903,1.032097523434477,0.7292507315081355,0.8907654186418623,9883922234.0,1289832451.0,6257310152.0,2336779631.0,7086659613.0,613483044.0,4457640784.0,2015535785.0,0.7169886048498426,0.475630027391829,0.7123892975922285,0.8625271113551571
2009,15225649669.0,3391476942.0,9600005614.0,2234167113.0,13535189361.0,3740985957.0,7721476650.0,2072726754.0,0.8889728619303621,1.2396545312293532,0.7990574928499881,0.9687857901203926,11062334244.0,1392488358.0,6570271747.0,3099574139.0,8484106370.0,751687492.0,5234895652.0,2497523226.0,0.7669363610669799,0.5398159975137113,0.7967548152616769,0.8057633448980069
2010,20017278082.140003,2209335215.74,13056358446.21,4751584420.1900015,18477437875.7,2636502743.8799987,10435698484.329996,5405236647.49,0.9230744459800506,1.3481640812434876,0.7944178485782656,1.1292183294868894,8458675147.0,1984536065.9800005,6294964663.74,179174417.28,6463929697.420002,1403186956.0600004,4812836850.380001,247905890.98000005,0.76417755559658,0.7070604460731134,0.764553433969647,1.383600933344138
2011,22354692159.17,1566079344.199999,15489244670.77,5299368144.200001,20062748973.30001,1213666159.939999,12967221097.670012,5881861715.6900015,0.8974737308145028,0.7749710539474465,0.8371758193051634,1.109917551609907,9753476757.24,2018128065.4699996,7475856581.28,259492110.49,6640119730.33,1223397830.6599994,5083362092.350001,333359807.32000005,0.6807951559838438,0.6062042600726053,0.6799705207131782,1.2846625922095103
2012,25479956718.51,1581737727.1799996,18127187417.11,5771031574.22,22215762752.37,1565558548.8400002,15372058454.809998,5278145748.72,0.8718916989459125,0.989771263552748,0.8480112276160685,0.9145931157781584,10529974407.039995,2539358154.0,7798544717.219997,192071535.82,7960987418.88,2047260524.38,5682000940.67,231725953.83,0.7560310320942037,0.8062118063791643,0.7285975969495374,1.2064565050761198
2013,27882205477.25,1583234297.7699993,20508537718.84,5790433460.639999,24571481779.34999,1991142925.2,17557153429.359993,5023185424.789998,0.8812603364320898,1.2576426167652783,0.8560899694584884,0.8674973055013399,11599157145.22,1819903535.5500004,9429654838.86,349598770.80999994,8836130233.98,1525826731.78,6984762341.349999,325541160.85,0.761790716631627,0.8384107739638375,0.7407230127411986,0.9311850842488378
2014,31170212066.94001,1665625874.9699998,23594722863.10001,5909863328.869999,26823936199.27,1496602963.98,20292613927.78,5034719307.509999,0.8605631601627827,0.8985228834818358,0.8600488357299502,0.8519180609330043,13074244811.38,2007023139.3,10595750510.499998,471471161.5800001,9979895447.110004,2044026534.47,7441510993.620003,494357919.0199999,0.7633248108084504,1.0184369549336163,0.7023108921114875,1.048543281763621
2015,34399435635.72998,1940602501.41,26364400197.519985,6094432936.799999,29567731024.269997,1680141028.770001,22274764572.36999,5612825423.13,0.8595411662381636,0.865783192358686,0.8448803843625962,0.9209758284873544,14521406539.279997,2316905387.7900004,11678419923.189997,526081228.3000001,10723246718.34,1875018807.03,8309231919.019999,538995992.29,0.7384440817997843,0.8092772440822463,0.7115030949110028,1.0245489922378208
2016,39576299817.98,2055561384.4699988,29831027160.88,7689711272.630001,34276114130.99,1870570375.0200007,25752649197.66,6652894558.309999,0.8660767754598913,0.9100046289798852,0.8632840250111022,0.8651683167857882,14267216855.499996,2205495655.5,11450091068.739996,611630131.26,11008921415.210005,1847043896.11,8386476772.450004,775400746.65,0.7716236128398144,0.8374733776980682,0.732437560723513,1.2677608688973865
2017,43303077248.8,1976361533.71,31561945872.619995,9764769842.47,37716167541.87999,1828990574.14,27198190415.23999,8688986552.500002,0.8709812313148062,0.9254331977948606,0.861739973986662,0.889830143738659,11600959357.969995,1928038796.5000005,8605333505.579998,1067587055.89,8891327897.51,1499054946.0799997,6105711145.56,1286561805.87,0.7664303979654538,0.777502480137463,0.7095263817027945,1.2051118442958737
2018,50188825576.94,2058116319.77,35536934552.76,12593774704.409998,42804399716.55002,2017084590.53,29966743815.07002,10820571310.95,0.8528671317668198,0.9800634547008568,0.8432562963634304,0.8592000067430878,9571075448.34,2165457076.59,6057504060.770001,1348114310.98,7686847912.980001,1615689117.2200005,4413338894.460001,1657819901.3000002,0.8031331436545307,0.7461192072041748,0.7285738235062773,1.2297324401925993
2019,54180854258.02,2260396241.17,37551633341.810005,14368824675.04,48029276821.53999,2423338550.24,32601220692.07,13004717579.229998,0.8864621549305042,1.0720857282020873,0.8681705105959208,0.9050648103334724,8533003358.019998,2367624530.38,4567916971.089998,1597461856.5500002,7185953511.139999,1841928524.9099991,3454952799.15,1889072187.0800004,0.8421364916475823,0.777964791830558,0.7563519260564795,1.182546036598197
2020,60195837901.990005,2672073519.9999995,40635515463.37,16888248918.620005,49660383712.57,2279989846.7100005,32537199187.57,14843194678.29,0.8249803548449034,0.8532661356974942,0.8007084152014743,0.8789066734991544,9303153951.73,2544669034.98,4824264874.200001,1934220042.55,7335141893.220001,1727177180.5300002,3308468978.76,2299495733.9300003,0.7884575415261155,0.6787433480690643,0.6857975391139024,1.1888490881825604
2021,64049897468.92001,3307090683.69,42359394420.66,18383412364.570007,58956339932.51999,3190256423.4600005,37477704244.35999,18288379264.699997,0.920475164868583,0.964671588594106,0.8847554304525407,0.9948304972991212,10760796346.529997,2758087287.46,5351198016.779999,2651511042.289999,9516659465.16,2285757609.6600003,4347866701.440001,2883035154.0599995,0.8843824526266413,0.8287473786824996,0.8125034221881146,1.0873178003324635
2022,76678782618.24002,4104002853.73,48910501674.460014,23664278090.050003,66829118258.29001,3529214668.070001,40912355025.11001,22387548565.110004,0.8715464170970417,0.8599444965937117,0.8364738374064468,0.9460482369214204,12456465141.36,2231091578.02,5961844272.119999,4263529291.22,10683524782.730003,2023455909.1,4774194915.490002,3885873958.14,0.8576690627308715,0.9069353894006144,0.8007916170866912,0.911421897849344
2023,79931708374.87,4253560643.57,47915296752.05,27762850979.250004,70613537139.20001,3801559065.08,40947239734.240005,25864738339.880005,0.8834233444383687,0.8937357154709247,0.8545755220119372,0.9316312060029912,12933822416.220003,2071477598.3400009,5967160341.900003,4895184475.98,11394572479.730003,2062442268.6100008,4792859564.270001,4539270646.85,0.880990330085276,0.995638219917396,0.8032060963094394,0.9272930712057084
